player_id,name,year,league,reason
"1003886","中谷　仁","2012","CL","NOT_FETCHED_FROM_NPB"
"1005114","高崎　健太郎","2012","CL","NOT_FETCHED_FROM_NPB"
"1005117","雄平","2012","CL","NOT_FETCHED_FROM_NPB"
"1103888","新井　貴浩","2012","CL","NOT_FETCHED_FROM_NPB"
"1105112","新井　良太","2012","CL","NOT_FETCHED_FROM_NPB"
"1105115","天谷　宗一郎","2012","CL","NOT_FETCHED_FROM_NPB"
"1105131","荒木　貴裕","2012","CL","NOT_FETCHED_FROM_NPB"
"1105133","荒波　翔","2012","CL","NOT_FETCHED_FROM_NPB"
"1205114","堂上　直倫","2012","CL","NOT_FETCHED_FROM_NPB"
"1205115","林　昌範","2012","CL","NOT_FETCHED_FROM_NPB"
"1303868","山﨑　武司","2012","CL","NOT_FETCHED_FROM_NPB"
"1305113","上村　和裕","2012","CL","NOT_FETCHED_FROM_NPB"
"1305116","大田　阿斗里","2012","CL","NOT_FETCHED_FROM_NPB"
"1305117","江草　仁貴","2012","CL","NOT_FETCHED_FROM_NPB"
"1305118","上本　博紀","2012","CL","NOT_FETCHED_FROM_NPB"
"1305131","大島　洋平","2012","CL","NOT_FETCHED_FROM_NPB"
"1305133","榎田　大樹","2012","CL","NOT_FETCHED_FROM_NPB"
"1403862","山本昌","2012","CL","NOT_FETCHED_FROM_NPB"
"1405116","松山　竜平","2012","CL","NOT_FETCHED_FROM_NPB"
"1405118","R.フェルナンデス","2012","CL","NOT_FETCHED_FROM_NPB"
"1503888","英智","2012","CL","NOT_FETCHED_FROM_NPB"
"1505119","黒瀬　春樹","2012","CL","NOT_FETCHED_FROM_NPB"
"1505133","加賀美　希昇","2012","CL","NOT_FETCHED_FROM_NPB"
"1605114","松本　哲也","2012","CL","NOT_FETCHED_FROM_NPB"
"1705114","北　篤","2012","CL","NOT_FETCHED_FROM_NPB"
"1705116","小林　太志","2012","CL","NOT_FETCHED_FROM_NPB"
"1705117","木村　昇吾","2012","CL","NOT_FETCHED_FROM_NPB"
"1705119","嶋村　一輝","2012","CL","NOT_FETCHED_FROM_NPB"
"1705131","国吉　佑樹","2012","CL","NOT_FETCHED_FROM_NPB"
"1705133","久古　健太郎","2012","CL","NOT_FETCHED_FROM_NPB"
"1905119","堂上　剛裕","2012","CL","NOT_FETCHED_FROM_NPB"
"3305133","ブランドン","2012","CL","NOT_FETCHED_FROM_NPB"
"3305135","V.ディアス","2012","CL","NOT_FETCHED_FROM_NPB"
"3505133","E.ソト","2012","CL","NOT_FETCHED_FROM_NPB"
"11015116","田中　健二朗","2012","CL","NOT_FETCHED_FROM_NPB"
"11213880","横山　竜士","2012","CL","NOT_FETCHED_FROM_NPB"
"11215131","平井　諒","2012","CL","NOT_FETCHED_FROM_NPB"
"11315112","今井　啓介","2012","CL","NOT_FETCHED_FROM_NPB"
"11315115","石川　雅規","2012","CL","NOT_FETCHED_FROM_NPB"
"11415115","福川　将和","2012","CL","NOT_FETCHED_FROM_NPB"
"11415118","野原　祐也","2012","CL","NOT_FETCHED_FROM_NPB"
"11515110","雄太","2012","CL","NOT_FETCHED_FROM_NPB"
"11515115","大竹　寛","2012","CL","NOT_FETCHED_FROM_NPB"
"11515118","小熊　凌祐","2012","CL","NOT_FETCHED_FROM_NPB"
"11515133","大野　雄大","2012","CL","NOT_FETCHED_FROM_NPB"
"11515135","ウーゴ","2012","CL","NOT_FETCHED_FROM_NPB"
"11615112","松井　光介","2012","CL","NOT_FETCHED_FROM_NPB"
"11615117","森岡　良介","2012","CL","NOT_FETCHED_FROM_NPB"
"11615131","山本　哲哉","2012","CL","NOT_FETCHED_FROM_NPB"
"11715113","狩野　恵輔","2012","CL","NOT_FETCHED_FROM_NPB"
"11715118","小杉　陽太","2012","CL","NOT_FETCHED_FROM_NPB"
"11815116","林　昌勇","2012","CL","NOT_FETCHED_FROM_NPB"
"11815131","ジオ・アルバラード","2012","CL","NOT_FETCHED_FROM_NPB"
"11915114","小嶋　達也","2012","CL","NOT_FETCHED_FROM_NPB"
"11915116","篠田　純平","2012","CL","NOT_FETCHED_FROM_NPB"
"11915117","G　後藤　武敏","2012","CL","NOT_FETCHED_FROM_NPB"
"13315133","W.バレンティン","2012","CL","NOT_FETCHED_FROM_NPB"
"13315135","L.ミレッジ","2012","CL","NOT_FETCHED_FROM_NPB"
"13515118","鄭　凱文","2012","CL","NOT_FETCHED_FROM_NPB"
"13515135","B.エルドレッド","2012","CL","NOT_FETCHED_FROM_NPB"
"21023885","中村　紀洋","2012","CL","NOT_FETCHED_FROM_NPB"
"21025116","中井　大介","2012","CL","NOT_FETCHED_FROM_NPB"
"21025135","田島　慎二","2012","CL","NOT_FETCHED_FROM_NPB"
"21125113","阿部　慎之助","2012","CL","NOT_FETCHED_FROM_NPB"
"21125118","伊藤　準規","2012","CL","NOT_FETCHED_FROM_NPB"
"21125135","一岡　竜司","2012","CL","NOT_FETCHED_FROM_NPB"
