year,teams,min_games,max_games,diff,mean_games
1936,14,5,31,26,17.57
1937,16,48,56,8,52.38
1938,17,35,40,5,37.65
1939,9,96,96,0,96.0
1940,9,104,105,1,104.22
1941,8,84,87,3,85.0
1942,8,105,105,0,105.0
1943,8,84,84,0,84.0
1944,6,35,35,0,35.0
1946,8,105,105,0,105.0
1947,8,119,119,0,119.0
1948,8,140,140,0,140.0
1949,8,133,138,5,135.5
