year,team,games,mode_games,delta
1940,翼,105,104,1
1940,南海,105,104,1
1941,東京巨人,86,85,1
1941,大洋,87,85,2
1941,南海,84,85,-1
1941,阪神,84,85,-1
1941,名古屋,84,85,-1
1949,阪急ブレーブス,136,134,2
1949,南海ホークス,135,134,1
1949,中日ドラゴンズ,137,134,3
1949,大阪タイガース,137,134,3
1949,東急フライヤーズ,138,134,4
1949,大陽ロビンス,133,134,-1
