year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1967,CL,読売ジャイアンツ,91393824,宇佐美　敏晴,,0.0,-12.8,2.08,1,1,3,10.1,,47,10,0,11,,1,5,0,1,,,0,0,0.5,10.6,23.4,1,6
1967,CL,読売ジャイアンツ,71073801,金田　正一,,0.0,-12.8,1.86,16,5,33,170.0,,698,170,,146,,13,57,0,3,,,6,1,0.762,8.2,20.9,3,132
1967,CL,読売ジャイアンツ,51053825,城之内　邦雄,,0.0,-17.1,1.84,17,8,33,227.0,,895,227,,190,,23,37,0,2,,,16,5,0.68,4.1,21.2,4,94
1967,CL,読売ジャイアンツ,81583822,菅原　勝矢,,0.06,-11.7,1.7,11,4,32,144.0,,557,144,,101,,10,36,1,0,,,4,3,0.733,6.5,18.1,3,107
1967,CL,読売ジャイアンツ,41943823,高橋　明,,0.0,-18.1,1.87,1,0,24,55.2,,221,55,0,48,,13,8,0,1,,,0,0,1.0,3.6,21.7,3,29
1967,CL,読売ジャイアンツ,61963829,種部　儀康,,0.0,-15.6,1.85,0,0,19,34.0,,135,34,,29,,5,8,0,0,,,0,0,0.0,5.9,21.5,0,21
1967,CL,読売ジャイアンツ,01703820,高橋　一三,,0.0,-13.1,1.83,6,7,28,104.1,,426,104,0,87,,11,31,0,1,,,2,0,0.462,7.3,20.4,3,89
1967,CL,読売ジャイアンツ,81983804,中村　稔,,0.0,-17.4,1.92,4,8,33,88.1,,362,88,0,81,,16,18,0,1,,,0,0,0.333,5.0,22.4,3,56
1967,CL,読売ジャイアンツ,91093822,堀内　恒夫,,0.0,-11.0,1.85,12,2,23,149.0,,609,149,,126,,7,59,0,6,,,13,2,0.857,9.7,20.7,1,82
1967,CL,読売ジャイアンツ,91893825,益田　昭雄,,0.0,-44.8,3.73,0,0,4,5.1,,29,5,0,14,,1,1,0,0,,,0,0,0.0,3.4,48.3,0,4
1967,CL,読売ジャイアンツ,33133825,宮田　征典,,0.0,-14.7,2.02,2,5,28,38.1,,170,38,0,39,,6,14,0,1,,,0,0,0.286,8.2,22.9,1,34
1967,CL,読売ジャイアンツ,51653829,吉沢　勝,,0.0,33.3,1.0,1,0,1,1.0,,3,1,,0,,0,1,0,0,,,0,0,1.0,33.3,0.0,0,0
1967,CL,読売ジャイアンツ,41643829,渡辺　秀武,,0.06,-18.8,1.96,13,6,34,159.1,,656,159,0,153,,11,30,1,3,,,10,1,0.684,4.6,23.3,12,72
