year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
1965,CL,東京ヤクルトスワローズ,11913804,醍醐　猛夫,T.Daigo,140.0,539.0,505.0,42.0,125.0,17.0,2.0,15.0,191.0,56.0,4.0,0,4.0,2.0,24.0,0,4.0,75.0,12.0,0.248,0.286,0.378,0.6639999999999999,91.0,0.13,0.03799999999999998,0.416,4.452690166975881,13.91465677179963,0.32,0.2637889688249401,0.22319999999999998,412.0,0.18613861386138614,0.5688775510204082,0.248,125.0,15.0,56.0,140.0,539.0,505.0,91.0,17.0,2.0,42.0,0.286,0.378,24.0,0,4.0,,191.0,4.0,0,4.0,2.0,,53.79773156899811,54.13999999999999
1965,CL,東京ヤクルトスワローズ,1303800,榎本　喜八,K.Enomoto,139.0,562.0,493.0,64.0,132.0,30.0,4.0,10.0,200.0,57.0,9.0,0,0.0,3.0,60.0,0,6.0,29.0,10.0,0.268,0.352,0.406,0.758,88.0,0.138,0.08399999999999996,0.49,10.676156583629894,5.160142348754448,2.0689655172413794,0.26695842450765866,0.2599,487.33333333333326,0.2778904665314402,0.7412398921832885,0.268,132.0,10.0,57.0,139.0,562.0,493.0,88.0,30.0,4.0,64.0,0.352,0.406,60.0,0,6.0,,200.0,9.0,0,0.0,3.0,,69.43942133815551,72.182
1965,CL,東京ヤクルトスワローズ,1503804,小淵　泰輔,T.Kobuchi,130.0,456.0,407.0,45.0,100.0,13.0,0.0,17.0,164.0,48.0,6.0,0,5.0,4.0,35.0,0,5.0,111.0,14.0,0.246,0.31,0.403,0.7130000000000001,70.0,0.15700000000000003,0.064,0.467,7.675438596491229,24.342105263157894,0.3153153153153153,0.29328621908127206,0.24025000000000002,444.33333333333337,0.257985257985258,0.6542056074766355,0.246,100.0,17.0,48.0,130.0,456.0,407.0,70.0,13.0,0.0,45.0,0.31,0.403,35.0,0,5.0,,164.0,6.0,0,5.0,4.0,,50.09049773755656,53.034000000000006
1965,CL,横浜DeNAベイスターズ,1503806,近藤　和彦,K.Kondou,134.0,561.0,493.0,75.0,152.0,24.0,0.0,9.0,203.0,33.0,13.0,0,9.0,4.0,54.0,0,1.0,51.0,7.0,0.308,0.375,0.412,0.7869999999999999,119.0,0.10399999999999998,0.067,0.479,9.62566844919786,9.090909090909092,1.0588235294117647,0.32723112128146453,0.27175,512.3333333333333,0.23935091277890466,0.7787356321839081,0.308,152.0,9.0,33.0,134.0,561.0,493.0,119.0,24.0,0.0,75.0,0.375,0.412,54.0,0,1.0,,203.0,13.0,0,9.0,4.0,,76.44972577696527,76.81200000000001
1965,CL,横浜DeNAベイスターズ,1503821,近藤　昭仁,A.Kondou,135.0,531.0,466.0,47.0,133.0,22.0,1.0,7.0,178.0,40.0,7.0,0,41.0,1.0,19.0,0,4.0,35.0,9.0,0.285,0.318,0.382,0.7,103.0,0.09700000000000003,0.03300000000000003,0.415,3.5781544256120528,6.591337099811676,0.5428571428571428,0.2964705882352941,0.2386,445.33333333333337,0.15236051502145923,0.6081871345029239,0.285,133.0,7.0,40.0,135.0,531.0,466.0,103.0,22.0,1.0,47.0,0.318,0.382,19.0,0,4.0,,178.0,7.0,0,41.0,1.0,,55.78556701030928,54.676000000000016
1965,CL,中日ドラゴンズ,1503829,木俣　達彦,T.Kimata,132.0,455.0,419.0,26.0,89.0,9.0,1.0,10.0,130.0,38.0,3.0,0,7.0,3.0,24.0,0,2.0,71.0,11.0,0.212,0.257,0.31,0.567,69.0,0.098,0.04500000000000001,0.355,5.274725274725275,15.604395604395604,0.3380281690140845,0.2316715542521994,0.19315,360.3333333333333,0.162291169451074,0.4662756598240469,0.212,89.0,10.0,38.0,132.0,455.0,419.0,69.0,9.0,1.0,26.0,0.257,0.31,24.0,0,2.0,,130.0,3.0,0,7.0,3.0,,33.160270880361175,33.2
1965,CL,東京ヤクルトスワローズ,1803800,八田　正,T.Hatta,128.0,461.0,422.0,63.0,116.0,11.0,5.0,10.0,167.0,31.0,3.0,0,10.0,0.0,28.0,0,1.0,28.0,1.0,0.275,0.322,0.396,0.718,90.0,0.121,0.046999999999999986,0.443,6.073752711496746,6.073752711496746,1.0,0.2760416666666667,0.2439,454.0,0.1943127962085308,0.6482084690553745,0.275,116.0,10.0,31.0,128.0,461.0,422.0,90.0,11.0,5.0,63.0,0.322,0.396,28.0,0,1.0,,167.0,3.0,0,10.0,0.0,,53.44,52.64200000000001
1965,CL,東京ヤクルトスワローズ,21223808,前田　益穂,M.Maeda,121.0,434.0,407.0,42.0,106.0,23.0,0.0,12.0,165.0,40.0,7.0,0,4.0,3.0,19.0,0,1.0,53.0,10.0,0.26,0.293,0.405,0.698,71.0,0.14500000000000002,0.032999999999999974,0.438,4.377880184331797,12.211981566820276,0.3584905660377358,0.27246376811594203,0.2331,428.0,0.20884520884520885,0.617363344051447,0.26,106.0,12.0,40.0,121.0,434.0,407.0,71.0,23.0,0.0,42.0,0.293,0.405,19.0,0,1.0,,165.0,7.0,0,4.0,3.0,,48.41549295774648,47.702
1965,CL,読売ジャイアンツ,21623804,吉田　勝豊,K.Yoshida,133.0,481.0,443.0,42.0,117.0,9.0,3.0,7.0,153.0,44.0,9.0,0,4.0,1.0,32.0,0,1.0,52.0,6.0,0.264,0.314,0.345,0.659,98.0,0.08099999999999996,0.04999999999999999,0.3949999999999999,6.652806652806653,10.81081081081081,0.6153846153846154,0.2857142857142857,0.22755,429.0,0.17381489841986456,0.5873493975903614,0.264,117.0,7.0,44.0,133.0,481.0,443.0,98.0,9.0,3.0,42.0,0.314,0.345,32.0,0,1.0,,153.0,9.0,0,4.0,1.0,,47.99368421052632,49.242
1965,CL,読売ジャイアンツ,21923800,国松　彰,A.Kunimatsu,136.0,487.0,428.0,68.0,111.0,13.0,4.0,11.0,165.0,39.0,8.0,0,14.0,1.0,42.0,0,2.0,44.0,7.0,0.259,0.328,0.386,0.714,83.0,0.127,0.069,0.455,8.624229979466119,9.034907597535934,0.9545454545454546,0.26737967914438504,0.2441,456.6666666666667,0.24299065420560748,0.6697530864197531,0.259,111.0,11.0,39.0,136.0,487.0,428.0,83.0,13.0,4.0,68.0,0.328,0.386,42.0,0,2.0,,165.0,8.0,0,14.0,1.0,,53.712765957446805,55.75399999999999
