season_key,base_year,split_type,team,player_id,player_name_ja,player_name_en,G,PA,AB,H,1B,2B,3B,HR,TB,R,RBI,BB,SO,HBP,SH,SF,SB,CS,GDP,AVG,OBP,SLG,OPS,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,IsoP,IsoD,BB%,K%,BB/K,RC,XR,BABIP,SecA,TA,NOI,GPA
1936A,1936,fall,阪　急,33133872,日高　得之1936年 公式戦初出場,,1,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0,0,0,1,4,3,0,0,0,0,0.0,0.0,0,,0,,0,0,,1,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,-0.29400000000000004,0.0,0.0,0.0,0.0,0.0
1936A,1936,fall,阪　急,13313872,堀尾　文人1936年 公式戦初出場,,29,130,123,22,16,3,3,0,31,16,17,6,17,0,1,0.0,10,,,0.179,0.217,0.252,0.469,0.179,22,0,17,29,130,123,16,3,3,16,0.217,0.252,6,,0,,31,10,,1,0.0,,0.07300000000000001,0.038000000000000006,4.615384615384616,13.076923076923078,0.35294117647058826,6.728682170542636,7.162000000000003,0.20754716981132076,0.2032520325203252,0.46534653465346537,301.0,0.16065000000000002
1936A,1936,fall,阪　急,63363872,松本　光三郎1936年 公式戦初出場,,3,6,3,0,0,0,0,0,0,2,0,3,2,0,0,0.0,0,,,0.0,0.5,0.0,0.5,0.0,0,0,0,3,6,3,0,0,0,2,0.5,0.0,3,,0,,0,0,,0,0.0,,0.0,0.5,50.0,33.33333333333333,1.5,0.0,0.696,0.0,1.0,1.0,500.0,0.225
1936A,1936,fall,阪　急,83383872,丸尾　千年次1936年 公式戦初出場,,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,,,0.0,0.5,0.0,0.5,0.0,0,0,0,1,2,1,0,0,0,0,0.5,0.0,1,,0,,0,0,,0,0.0,,0.0,0.5,50.0,0.0,nan,0.0,0.232,0.0,1.0,1.0,500.0,0.225
1936A,1936,fall,阪　急,03503872,宮武　三郎1936年 公式戦初出場,,15,49,43,16,12,4,0,0,20,6,5,4,6,0,2,0.0,0,,,0.372,0.426,0.465,0.891,0.372,16,0,5,15,49,43,12,4,0,6,0.426,0.465,4,,0,,20,0,,2,0.0,,0.09300000000000003,0.05399999999999999,8.16326530612245,12.244897959183673,0.6666666666666666,8.51063829787234,7.553999999999999,0.43243243243243246,0.18604651162790697,0.8888888888888888,581.0,0.30795
1936A,1936,fall,阪　急,91193872,山田　勝三郎1936年 公式戦初出場,,8,16,13,4,4,0,0,0,4,1,2,3,1,0,0,0.0,0,,,0.308,0.438,0.308,0.746,0.308,4,0,2,8,16,13,4,0,0,1,0.438,0.308,3,,0,,4,0,,0,0.0,,0.0,0.13,18.75,6.25,3.0,1.75,2.108,0.3333333333333333,0.23076923076923078,0.7777777777777778,540.6666666666666,0.2741
1936A,1936,fall,阪　急,93793872,山下　好一1936年 公式戦初出場,,30,133,108,36,29,4,2,1,47,20,17,25,14,0,0,0.0,6,,,0.333,0.459,0.435,0.894,0.333,36,1,17,30,133,108,29,4,2,20,0.459,0.435,25,,0,,47,6,,0,0.0,,0.10199999999999998,0.126,18.796992481203006,10.526315789473683,1.7857142857142858,21.55639097744361,23.174000000000003,0.3763440860215054,0.3888888888888889,1.0833333333333333,604.0,0.3153
1936A,1936,fall,阪　急,03703872,山下　実1936年 公式戦初出場,,29,131,109,35,27,6,0,2,47,19,20,19,6,1,2,0.0,6,,,0.321,0.426,0.431,0.857,0.321,35,2,20,29,131,109,27,6,0,19,0.426,0.431,19,,1,,47,6,,2,0.0,,0.10999999999999999,0.10499999999999998,14.50381679389313,4.580152671755725,3.1666666666666665,19.828125,21.128,0.32673267326732675,0.3394495412844037,0.9864864864864865,569.6666666666666,0.29945
1936A,1936,fall,大東京,41143872,伊藤　勝三1936年 公式戦初出場,,9,38,32,7,2,3,2,0,14,3,3,6,5,0,0,0.0,1,,,0.219,0.342,0.438,0.78,0.219,7,0,3,9,38,32,2,3,2,3,0.342,0.438,6,,0,,14,1,,0,0.0,,0.219,0.12300000000000003,15.789473684210526,13.157894736842104,1.2,4.7894736842105265,4.95,0.25925925925925924,0.4375,0.84,488.0,0.2634
1936A,1936,fall,大東京,61363872,漆原　進1936年 公式戦初出場,,26,92,76,12,11,1,0,0,13,11,4,10,10,3,3,0.0,1,,,0.158,0.281,0.171,0.45200000000000007,0.158,12,0,4,26,92,76,11,1,0,11,0.281,0.171,10,,3,,13,1,,3,0.0,,0.013000000000000012,0.12300000000000003,10.869565217391305,10.869565217391305,1.0,3.3255813953488373,4.417999999999999,0.18181818181818182,0.15789473684210525,0.421875,338.0,0.16920000000000002
