year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1960,PL,阪急ブレーブス,91193802,秋本　祐作,,0.0,-15.8,1.98,6,8,36,143.0,,603,143,,140,,7,45,0,0,,,3,2,0.429,7.5,23.2,5,100
1960,PL,阪急ブレーブス,51153808,安藤　治久,,0.0,-19.6,2.07,7,13,42,166.1,,700,166,0,177,,13,40,0,0,,,4,2,0.35,5.7,25.3,3,103
1960,PL,阪急ブレーブス,71173808,足立　光宏,,0.0,-18.3,1.9,4,7,41,112.1,,449,112,0,101,,6,19,0,1,,,1,1,0.364,4.2,22.5,3,52
1960,PL,阪急ブレーブス,41143806,石井　茂雄,,0.0,-9.6,1.8,2,2,27,67.1,,282,67,0,54,,3,27,0,1,,,1,1,0.5,9.6,19.1,0,55
1960,PL,阪急ブレーブス,91793809,梶本　隆夫,,0.0,-15.0,1.89,21,18,48,297.2,,1228,297,0,266,,31,82,0,1,,,18,4,0.538,6.7,21.7,4,171
1960,PL,阪急ブレーブス,01303804,梶本　靖郎,,0.0,-14.3,1.61,1,0,3,11.2,,42,11,0,7,,0,1,0,0,,,0,0,1.0,2.4,16.7,0,6
1960,PL,阪急ブレーブス,01603801,柴田　英治,,0.0,-17.1,1.85,0,0,13,20.0,,76,20,,17,,3,4,0,1,,,0,0,0.0,5.3,22.4,0,15
1960,PL,阪急ブレーブス,61563803,種田　弘,,0.0,-15.5,1.89,1,0,15,37.1,,148,37,0,33,,1,10,0,0,,,0,0,1.0,6.8,22.3,0,9
1960,PL,阪急ブレーブス,71073804,西田　稔,,0.0,-7.5,1.88,0,0,5,11.2,,53,11,0,10,,1,6,0,0,,,0,0,0.0,11.3,18.9,1,5
1960,PL,阪急ブレーブス,11213806,牧田　政彦,,0.2,-14.4,2.21,1,1,23,46.1,,215,46,0,56,,4,25,1,3,,,0,0,0.5,11.6,26.0,0,47
1960,PL,阪急ブレーブス,83183802,米田　哲也,,0.0,-16.2,1.88,22,16,51,306.2,,1237,306,0,271,,12,71,0,2,,,20,4,0.579,5.7,21.9,8,213
1960,PL,南海ホークス,31133804,東　実,,0.0,-13.3,1.94,0,0,3,3.1,,15,3,0,3,,0,1,0,0,,,0,0,0.0,6.7,20.0,0,2
1960,PL,南海ホークス,91193803,伊藤　四郎,,0.0,-16.7,2.14,0,0,5,7.0,,30,7,,8,,2,3,0,1,,,0,0,0.0,10.0,26.7,0,1
1960,PL,南海ホークス,21523808,金彦　任重,,0.0,-8.2,1.81,1,2,8,23.2,,98,23,0,19,,3,11,0,0,,,0,0,0.333,11.2,19.4,2,6
1960,PL,南海ホークス,51353821,柿本　実,,0.0,-12.5,4.0,0,0,1,1.0,,8,1,,3,,0,2,0,0,,,0,0,0.0,25.0,37.5,0,1
1960,PL,南海ホークス,11913808,Ｊ．サディナ,,0.17,-15.4,1.85,2,3,18,53.0,,208,53,,45,,9,13,1,1,,,0,0,0.4,6.2,21.6,3,27
1960,PL,南海ホークス,01703806,杉浦　忠,,0.0,-17.3,1.8,31,11,57,332.2,,1284,332,0,266,,28,44,0,1,,,22,4,0.738,3.4,20.7,5,317
1960,PL,南海ホークス,91793821,Ｊ．スタンカ,,0.0,-9.3,1.77,17,12,38,240.0,,982,240,,186,,13,95,0,3,,,11,4,0.586,9.7,18.9,8,174
1960,PL,南海ホークス,61263800,田沢　芳夫,,0.0,-27.4,2.36,0,1,12,19.1,,84,19,0,26,,2,3,0,0,,,0,0,0.0,3.6,31.0,0,8
1960,PL,南海ホークス,51253802,富島　五郎,,0.0,-14.7,2.08,0,1,15,24.0,,109,24,,26,,4,10,0,0,,,0,0,0.0,9.2,23.9,0,14
1960,PL,南海ホークス,21623809,野母　得見,,0.0,-15.9,2.27,0,0,8,15.0,,69,15,,19,,2,8,0,0,,,0,0,0.0,11.6,27.5,0,12
1960,PL,南海ホークス,41843800,橋本　敬包,,0.0,-20.2,2.46,0,1,10,19.1,,94,19,0,28,,0,9,0,1,,,0,0,0.0,9.6,29.8,1,4
1960,PL,南海ホークス,71073806,祓川　正敏,,0.0,-18.7,1.94,8,5,36,123.0,,492,123,,116,,12,24,0,2,,,2,0,0.615,4.9,23.6,1,90
1960,PL,南海ホークス,01803802,舛井　真喜人,,0.0,-15.0,2.09,3,2,21,54.1,,240,54,0,59,,3,23,0,1,,,1,1,0.6,9.6,24.6,3,24
1960,PL,南海ホークス,63163809,皆川　睦男,,0.0,-17.0,1.91,11,8,39,158.1,,634,158,0,144,,7,36,0,1,,,2,1,0.579,5.7,22.7,4,78
1960,PL,南海ホークス,71473804,三浦　清弘,,0.0,-11.5,1.93,0,1,17,30.0,,131,30,,28,,1,13,0,0,,,0,0,0.0,9.9,21.4,2,22
1960,PL,南海ホークス,21223821,森中　千香良,,0.08,-16.6,1.91,5,5,30,118.0,,477,118,,107,,6,28,1,1,,,1,0,0.5,5.9,22.4,4,89
1960,PL,南海ホークス,03303809,山下　登,,0.0,-33.3,2.93,0,0,3,4.1,,21,4,0,8,,0,1,0,0,,,0,0,0.0,4.8,38.1,0,2
1960,PL,西鉄ライオンズ,71373802,稲尾　和久,,0.0,-16.4,1.87,20,7,39,243.0,,973,243,,211,,15,51,0,0,,,19,3,0.741,5.2,21.7,4,179
1960,PL,西鉄ライオンズ,01103821,井上　善夫,,0.0,-16.0,1.98,0,1,22,51.1,,213,51,0,50,,2,16,0,0,,,0,0,0.0,7.5,23.5,3,24
1960,PL,西鉄ライオンズ,41143821,岩永　功,,0.0,-31.6,2.56,0,1,10,12.1,,57,12,0,19,,5,1,0,0,,,0,0,0.0,1.8,33.3,1,4
1960,PL,西鉄ライオンズ,41543821,近藤　光郎,,0.0,-17.8,2.05,7,6,43,105.2,,450,105,0,111,,5,31,0,2,,,0,0,0.538,6.9,24.7,1,102
1960,PL,西鉄ライオンズ,71973805,島原　幸雄,,0.0,-15.1,1.89,8,8,39,130.1,,531,130,0,116,,8,36,0,2,,,2,0,0.5,6.8,21.8,0,79
1960,PL,西鉄ライオンズ,01703821,杉町　攻,,0.0,-30.0,2.7,0,1,6,12.2,,60,12,0,21,,2,3,0,0,,,0,0,0.0,5.0,35.0,0,7
1960,PL,西鉄ライオンズ,41943808,田中　喜八郎,,0.0,-14.1,1.76,3,5,23,95.0,,370,95,,72,,11,20,0,2,,,4,0,0.375,5.4,19.5,4,70
1960,PL,西鉄ライオンズ,31033808,団野　富士夫,,0.0,-29.4,2.81,0,1,3,3.2,,17,3,0,6,,0,1,0,0,,,0,0,0.0,5.9,35.3,0,2
1960,PL,西鉄ライオンズ,91093808,中島　淳一,,0.0,-17.1,1.93,8,8,48,156.0,,639,156,,145,,16,36,0,2,,,3,0,0.5,5.6,22.7,2,80
1960,PL,西鉄ライオンズ,41443802,畑　隆幸,,0.0,-11.0,1.82,11,15,51,241.1,,999,241,0,199,,14,89,0,3,,,9,1,0.423,8.9,19.9,7,219
1960,PL,西鉄ライオンズ,61463804,村山　泰延,,0.0,-11.1,2.0,0,0,1,2.0,,9,2,,2,,0,1,0,0,,,0,0,0.0,11.1,22.2,0,1
1960,PL,西鉄ライオンズ,43743800,若生　忠男,,0.0,-14.7,1.79,13,7,35,159.0,,621,159,,125,,9,34,0,0,,,5,4,0.65,5.5,20.1,3,122
1960,PL,東映フライヤーズ,71373806,岡田　忠弘,,0.0,-9.5,2.11,0,0,11,16.1,,74,16,0,18,,2,11,0,1,,,0,0,0.0,14.9,24.3,1,11
1960,PL,東映フライヤーズ,41543807,金山　勝巳,,0.0,-17.8,1.88,5,5,32,112.1,,449,112,0,99,,5,19,0,1,,,1,1,0.5,4.2,22.0,2,55
1960,PL,東映フライヤーズ,41343821,河原田　明,,0.0,-19.6,2.27,0,0,6,11.0,,51,11,,14,,0,4,0,0,,,0,0,0.0,7.8,27.5,1,6
1960,PL,東映フライヤーズ,01903800,久保田　治,,0.0,-18.2,1.87,9,10,48,169.1,,670,169,0,148,,13,26,0,1,,,4,2,0.474,3.9,22.1,5,76
1960,PL,東映フライヤーズ,31733821,嵯峨　健四郎,,0.0,-8.2,1.91,0,2,7,11.0,,49,11,,10,,1,6,0,0,,,0,0,0.0,12.2,20.4,0,4
1960,PL,東映フライヤーズ,81783806,高野　一彦,,0.0,-22.4,2.03,9,12,32,141.0,,571,141,,145,,8,17,0,0,,,6,2,0.429,3.0,25.4,5,59
1960,PL,東映フライヤーズ,71273802,富永　格郎,,0.0,-21.0,1.9,1,1,6,21.1,,81,21,0,19,,1,2,0,0,,,0,0,0.5,2.5,23.5,0,6
1960,PL,東映フライヤーズ,71473825,土橋　正幸,,0.0,-20.4,1.98,12,23,44,263.1,,1076,263,0,258,,19,39,0,1,,,17,1,0.343,3.6,24.0,7,193
1960,PL,東映フライヤーズ,51053821,橋詰　文男,,0.0,-21.1,1.99,5,8,45,145.1,,583,145,0,144,,8,21,0,1,,,2,0,0.385,3.6,24.7,3,91
1960,PL,東映フライヤーズ,73373800,福島　郁夫,,0.0,-33.3,2.62,0,0,5,6.1,,27,6,0,10,,0,1,0,0,,,0,0,0.0,3.7,37.0,0,3
1960,PL,東映フライヤーズ,61063821,藤野　隆司,,0.0,-14.9,2.14,1,2,11,21.0,,94,21,,24,,2,10,0,0,,,0,0,0.333,10.6,25.5,2,14
1960,PL,東映フライヤーズ,91893802,牧野　伸,,0.0,-21.7,2.67,0,1,11,22.1,,115,22,0,37,,2,12,0,1,,,0,0,0.0,10.4,32.2,0,17
1960,PL,東映フライヤーズ,13513809,山本　義司,,0.0,-16.6,2.0,8,13,45,162.0,,680,162,,162,,17,49,0,1,,,3,1,0.381,7.2,23.8,2,106
1960,PL,東映フライヤーズ,31433821,竜　憲一,,0.0,-20.2,2.07,2,1,33,86.1,,372,86,0,92,,6,17,0,0,,,0,0,0.667,4.6,24.7,3,30
1960,PL,毎日大映オリオンズ,01103801,荒巻　淳,,0.0,-17.0,1.99,0,2,21,38.2,,165,38,0,38,,3,10,0,0,,,0,0,0.0,6.1,23.0,0,24
1960,PL,毎日大映オリオンズ,01103803,飯尾　為男,,0.0,-20.0,2.0,5,4,32,109.1,,455,109,0,109,,8,18,0,2,,,1,0,0.556,4.0,24.0,2,40
1960,PL,毎日大映オリオンズ,11313806,稲垣　忠美,,0.0,-25.6,2.42,0,0,14,19.0,,90,19,,27,,2,4,0,0,,,0,0,0.0,4.4,30.0,2,9
1960,PL,毎日大映オリオンズ,21323807,植村　義信,,0.0,-11.7,2.06,1,1,11,16.0,,77,16,,17,,2,8,0,1,,,0,0,0.5,10.4,22.1,1,11
1960,PL,毎日大映オリオンズ,11513802,小野　正一,,0.0,-10.6,1.76,33,11,67,304.0,,1226,304,,231,,11,101,0,3,,,13,5,0.75,8.2,18.8,2,258
1960,PL,毎日大映オリオンズ,61563808,上条　皇裕,,0.0,-30.0,3.5,0,0,1,2.0,,10,2,,5,,0,2,0,0,,,0,0,0.0,20.0,50.0,0,1
1960,PL,毎日大映オリオンズ,31933808,坂井　勝二,,0.0,-15.0,2.03,1,2,12,29.1,,127,29,0,30,,4,11,0,0,,,0,0,0.333,8.7,23.6,1,14
1960,PL,毎日大映オリオンズ,81583821,佐々木　勝利,,0.0,-28.6,2.33,0,0,2,3.0,,14,3,,4,,0,0,0,0,,,0,0,0.0,0.0,28.6,0,3
1960,PL,毎日大映オリオンズ,21423809,中川　隆,,0.19,-15.3,1.81,0,0,27,48.0,,189,48,,39,,6,10,1,1,,,0,0,0.0,5.3,20.6,2,21
1960,PL,毎日大映オリオンズ,01203802,中西　勝己,,0.0,-15.0,1.77,16,10,40,214.2,,838,214,0,166,,11,40,0,2,,,11,3,0.615,4.8,19.8,4,120
1960,PL,毎日大映オリオンズ,91293805,ビル西田,,0.0,-21.5,2.05,1,0,9,29.2,,121,29,0,31,,1,5,0,0,,,1,0,1.0,4.1,25.6,1,5
1960,PL,毎日大映オリオンズ,31033821,長谷川　武,,3.0,-66.7,,0,0,1,0.0,,3,,0,2,,1,0,0,0,,,0,0,0.0,0.0,66.7,0,0
1960,PL,毎日大映オリオンズ,51653805,三浦　方義,,0.0,28.6,2.0,0,0,2,1.0,,7,1,,1,,0,3,0,0,,,0,0,0.0,42.9,14.3,0,1
1960,PL,毎日大映オリオンズ,51253806,三平　晴樹,,0.05,-15.9,1.89,12,10,45,188.2,,766,188,0,168,,20,46,1,0,,,4,1,0.545,6.0,21.9,5,109
1960,PL,毎日大映オリオンズ,33333802,若生　智男,,0.0,-15.0,1.85,13,8,44,196.1,,792,196,0,166,,10,47,0,2,,,4,3,0.619,5.9,21.0,9,127
1960,PL,近鉄バファローズ,31333804,江崎　照雄,,0.0,-13.0,1.9,6,11,48,186.0,,777,186,,167,,15,66,0,6,,,4,2,0.353,8.5,21.5,1,127
1960,PL,近鉄バファローズ,41743801,大友　工司,,0.0,-18.6,1.99,1,2,15,20.1,,86,20,0,20,,3,4,0,0,,,0,0,0.333,4.7,23.3,1,14
1960,PL,近鉄バファローズ,81183803,大津　守,,0.0,-23.0,2.5,0,11,19,55.1,,265,55,0,83,,5,22,0,3,,,0,0,0.0,8.3,31.3,0,32
1960,PL,近鉄バファローズ,11513807,大崎　三男,,0.0,-19.3,2.29,1,7,17,38.0,,176,38,,49,,6,15,0,0,,,0,0,0.125,8.5,27.8,2,23
1960,PL,近鉄バファローズ,41743802,黒田　勉,,0.0,-9.6,1.86,7,12,45,134.2,,573,134,0,116,,11,61,0,2,,,2,2,0.368,10.6,20.2,0,109
1960,PL,近鉄バファローズ,81383821,久保　征弘,,0.0,-25.0,2.47,0,1,4,8.1,,40,8,0,12,,2,2,0,0,,,0,0,0.0,5.0,30.0,0,4
1960,PL,近鉄バファローズ,51053800,後藤　修,,0.0,-17.5,2.19,1,4,23,62.0,,280,62,,74,,10,25,0,0,,,1,0,0.2,8.9,26.4,1,47
1960,PL,近鉄バファローズ,81783808,近藤　三明,,0.0,-25.0,2.4,0,1,8,22.1,,104,22,0,31,,1,5,0,0,,,0,0,0.0,4.8,29.8,1,15
1960,PL,近鉄バファローズ,43143801,武智　文雄,,0.0,-19.0,1.99,3,4,21,72.2,,294,72,0,72,,4,16,0,0,,,1,0,0.429,5.4,24.5,0,27
1960,PL,近鉄バファローズ,81283809,宅和　本司,,0.0,-16.7,2.09,0,0,6,11.0,,48,11,,12,,2,4,0,0,,,0,0,0.0,8.3,25.0,2,5
1960,PL,近鉄バファローズ,91993804,蔦　行雄,,0.05,-19.6,2.04,7,19,44,191.2,,810,191,0,199,,14,40,1,0,,,4,0,0.269,4.9,24.6,2,102
1960,PL,近鉄バファローズ,01003821,板東　里視,,0.0,-47.1,3.67,0,0,2,3.0,,17,3,,8,,0,0,0,0,,,0,0,0.0,0.0,47.1,0,1
1960,PL,近鉄バファローズ,01203808,Ｒ．ボトラ,,0.09,-7.3,1.76,4,5,25,102.2,,426,102,0,78,,9,47,1,1,,,4,0,0.444,11.0,18.3,4,54
1960,PL,近鉄バファローズ,81283808,Ｇ．ミケンズ,,0.04,-13.7,1.79,13,10,37,253.1,,1007,253,0,200,,8,62,1,4,,,15,2,0.565,6.2,19.9,7,179
