year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
1963,PL,埼玉西武ライオンズ,1003807,高倉　照幸,T.Takakura,143.0,611.0,560.0,80.0,142.0,19.0,3.0,27.0,248.0,62.0,8.0,0,7.0,1.0,37.0,0,6.0,62.0,12.0,0.254,0.306,0.443,0.749,93.0,0.189,0.05199999999999999,0.495,6.055646481178396,10.147299509001636,0.5967741935483871,0.24364406779661016,0.24845,453.6666666666667,0.26964285714285713,0.6953488372093023,0.254,142.0,27.0,62.0,143.0,611.0,560.0,93.0,19.0,3.0,80.0,0.306,0.443,37.0,0,6.0,,248.0,8.0,0,7.0,1.0,,74.35845896147404,76.84599999999999
1963,PL,千葉ロッテマリーンズ,11613804,矢頭　高雄,T.Yatou,138.0,477.0,443.0,53.0,112.0,24.0,1.0,8.0,162.0,26.0,5.0,0,12.0,1.0,21.0,0,0.0,52.0,6.0,0.253,0.286,0.366,0.6519999999999999,79.0,0.11299999999999999,0.032999999999999974,0.3989999999999999,4.40251572327044,10.90146750524109,0.40384615384615385,0.2708333333333333,0.22019999999999998,408.0,0.17155756207674944,0.5578635014836796,0.253,112.0,8.0,26.0,138.0,477.0,443.0,79.0,24.0,1.0,53.0,0.286,0.366,21.0,0,0.0,,162.0,5.0,0,12.0,1.0,,46.435344827586206,44.73200000000001
1963,PL,千葉ロッテマリーンズ,1303800,榎本　喜八,K.Enomoto,143.0,587.0,532.0,70.0,169.0,25.0,0.0,18.0,248.0,64.0,3.0,0,0.0,3.0,48.0,0,4.0,23.0,10.0,0.318,0.376,0.466,0.8420000000000001,126.0,0.14800000000000002,0.057999999999999996,0.524,8.17717206132879,3.9182282793867125,2.0869565217391304,0.305668016194332,0.2857,531.3333333333334,0.24436090225563908,0.8123324396782842,0.318,169.0,18.0,64.0,143.0,587.0,532.0,126.0,25.0,0.0,70.0,0.376,0.466,48.0,0,4.0,,248.0,3.0,0,0.0,3.0,,92.78620689655172,89.046
1963,PL,福岡ソフトバンクホークス,1603809,野村　克也,K.Nomura,150.0,643.0,550.0,104.0,160.0,20.0,2.0,52.0,340.0,135.0,5.0,0,0.0,5.0,84.0,0,4.0,112.0,24.0,0.291,0.386,0.618,1.004,86.0,0.327,0.09500000000000003,0.7130000000000001,13.063763608087092,17.418351477449455,0.75,0.27621483375959077,0.32820000000000005,592.0,0.4890909090909091,1.0458937198067633,0.291,160.0,52.0,135.0,150.0,643.0,550.0,86.0,20.0,2.0,104.0,0.386,0.618,84.0,0,4.0,,340.0,5.0,0,0.0,5.0,,130.85173501577287,126.07999999999998
1963,PL,埼玉西武ライオンズ,1903827,J.バーマ,J.Baumer,149.0,624.0,572.0,83.0,157.0,25.0,0.0,19.0,239.0,57.0,2.0,0,5.0,0.0,43.0,0,4.0,84.0,11.0,0.274,0.33,0.418,0.748,113.0,0.14399999999999996,0.055999999999999994,0.474,6.891025641025641,13.461538461538462,0.5119047619047619,0.2942430703624733,0.253,469.33333333333337,0.22202797202797203,0.676056338028169,0.274,157.0,19.0,57.0,149.0,624.0,572.0,113.0,25.0,0.0,83.0,0.33,0.418,43.0,0,4.0,,239.0,2.0,0,5.0,0.0,,77.72357723577235,77.06
1963,PL,近鉄バファローズ,21023821,ブルーム,J.Bloomfield,121.0,486.0,439.0,62.0,147.0,31.0,6.0,9.0,217.0,62.0,3.0,0,1.0,1.0,38.0,0,7.0,50.0,5.0,0.335,0.396,0.494,0.89,101.0,0.15899999999999997,0.061,0.5549999999999999,7.818930041152264,10.2880658436214,0.76,0.36220472440944884,0.3017,560.6666666666666,0.2528473804100228,0.8922558922558923,0.335,147.0,9.0,62.0,121.0,486.0,439.0,101.0,31.0,6.0,62.0,0.396,0.494,38.0,0,7.0,,217.0,3.0,0,1.0,1.0,,84.16142557651992,78.79399999999998
1963,PL,北海道日本ハムファイターズ,21623804,吉田　勝豊,K.Yoshida,140.0,532.0,485.0,60.0,114.0,16.0,3.0,19.0,193.0,76.0,2.0,0,2.0,1.0,42.0,0,2.0,78.0,21.0,0.235,0.298,0.398,0.696,76.0,0.16300000000000003,0.063,0.461,7.894736842105263,14.661654135338345,0.5384615384615384,0.2442159383033419,0.2336,430.66666666666663,0.2536082474226804,0.6096938775510204,0.235,114.0,19.0,76.0,140.0,532.0,485.0,76.0,16.0,3.0,60.0,0.298,0.398,42.0,0,2.0,,193.0,2.0,0,2.0,1.0,,57.13092979127135,58.52199999999999
1963,PL,オリックス・バファローズ,21923804,中田　昌宏,Y.Nakata,147.0,536.0,489.0,57.0,113.0,12.0,2.0,22.0,195.0,61.0,6.0,0,2.0,5.0,38.0,0,2.0,83.0,11.0,0.231,0.287,0.399,0.6859999999999999,77.0,0.168,0.055999999999999966,0.4549999999999999,7.08955223880597,15.485074626865671,0.4578313253012048,0.23393316195372751,0.2289,420.0,0.25766871165644173,0.6227390180878553,0.231,113.0,22.0,61.0,147.0,536.0,489.0,77.0,12.0,2.0,57.0,0.287,0.399,38.0,0,2.0,,195.0,6.0,0,2.0,5.0,,55.87286527514232,58.33200000000001
1963,PL,北海道日本ハムファイターズ,31233808,張本　勲,I.Harimoto,150.0,626.0,529.0,90.0,148.0,16.0,7.0,33.0,277.0,96.0,12.0,0,0.0,2.0,92.0,0,3.0,47.0,6.0,0.28,0.388,0.524,0.912,92.0,0.244,0.10799999999999998,0.632,14.696485623003195,7.507987220447284,1.9574468085106382,0.2549889135254989,0.3056,562.6666666666666,0.44045368620037806,0.9922480620155039,0.28,148.0,33.0,96.0,150.0,626.0,529.0,92.0,16.0,7.0,90.0,0.388,0.524,92.0,0,3.0,,277.0,12.0,0,0.0,2.0,,107.05314009661836,108.49199999999999
1963,PL,オリックス・バファローズ,31533808,岡村　浩司,K.Okamura,136.0,466.0,428.0,31.0,100.0,16.0,0.0,8.0,140.0,34.0,3.0,0,5.0,1.0,26.0,0,6.0,83.0,12.0,0.234,0.286,0.327,0.613,76.0,0.093,0.05199999999999996,0.379,5.579399141630901,17.811158798283262,0.3132530120481928,0.27218934911242604,0.21044999999999997,394.99999999999994,0.16121495327102803,0.5147058823529411,0.234,100.0,8.0,34.0,136.0,466.0,428.0,76.0,16.0,0.0,31.0,0.286,0.327,26.0,0,6.0,,140.0,3.0,0,5.0,1.0,,38.85462555066079,39.996
1963,PL,北海道日本ハムファイターズ,31533825,岩下　光一,K.Iwashita,147.0,583.0,525.0,57.0,133.0,18.0,4.0,5.0,174.0,37.0,3.0,0,21.0,4.0,33.0,0,0.0,34.0,3.0,0.253,0.295,0.331,0.626,106.0,0.07800000000000001,0.04199999999999998,0.373,5.660377358490567,5.831903945111493,0.9705882352941176,0.2612244897959184,0.21550000000000002,405.3333333333333,0.14666666666666667,0.5316455696202531,0.253,133.0,5.0,37.0,147.0,583.0,525.0,106.0,18.0,4.0,57.0,0.295,0.331,33.0,0,0.0,,174.0,3.0,0,21.0,4.0,,51.763440860215056,50.333999999999996
1963,PL,千葉ロッテマリーンズ,31733800,葛城　隆雄,T.Katsuragi,130.0,473.0,441.0,45.0,110.0,22.0,2.0,11.0,169.0,55.0,10.0,0,2.0,4.0,19.0,0,7.0,39.0,18.0,0.249,0.289,0.383,0.6719999999999999,75.0,0.134,0.03999999999999998,0.423,4.0169133192389,8.24524312896406,0.48717948717948717,0.25063291139240507,0.2258,416.66666666666663,0.19954648526077098,0.5873925501432665,0.249,110.0,11.0,55.0,130.0,473.0,441.0,75.0,22.0,2.0,45.0,0.289,0.383,19.0,0,7.0,,169.0,10.0,0,2.0,4.0,,47.393478260869564,49.202
