year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1952,PL,阪急ブレーブス,01103894,池田　善蔵,,0.09,-9.9,1.95,5,6,25,99.1,,434,99,0,94,,5,51,1,5,,,1,1,0.455,11.8,21.7,1,39
1952,PL,阪急ブレーブス,51353801,伊藤　万喜三,,0.0,-10.0,2.5,0,0,1,2.0,,10,2,,3,,0,2,0,0,,,0,0,0.0,20.0,30.0,0,1
1952,PL,阪急ブレーブス,51753805,久保　守,,0.0,20.0,2.0,0,0,1,1.0,,5,1,,1,,0,2,0,0,,,0,0,0.0,40.0,20.0,0,1
1952,PL,阪急ブレーブス,11713892,白木　義一郎,,0.0,-32.7,2.81,0,2,9,21.0,,104,21,,38,,0,4,0,0,,,0,0,0.0,3.8,36.5,0,5
1952,PL,阪急ブレーブス,01603801,柴田　英治,,0.0,-19.8,1.96,10,11,28,155.2,,632,155,0,149,,7,24,0,0,,,8,4,0.476,3.8,23.6,0,56
1952,PL,阪急ブレーブス,21523803,鈴木　幸雄,,0.0,-15.0,1.88,8,8,28,156.2,,647,156,0,138,,13,41,0,0,,,6,0,0.5,6.3,21.3,3,91
1952,PL,阪急ブレーブス,33133801,田中　達夫,,0.0,-25.0,3.0,0,0,1,2.0,,12,2,,4,,0,1,0,0,,,0,0,0.0,8.3,33.3,0,0
1952,PL,阪急ブレーブス,71073805,田中　照雄,,0.0,-12.5,2.5,0,0,1,1.2,,8,1,0,2,,0,1,0,0,,,0,0,0.0,12.5,25.0,0,1
1952,PL,阪急ブレーブス,61563895,天保　義夫,,0.0,-18.5,2.05,4,12,23,106.1,,454,106,0,112,,6,28,0,1,,,7,0,0.25,6.2,24.7,3,30
1952,PL,阪急ブレーブス,51253805,Ｊ．ニューベリー,,0.26,-14.2,1.89,11,10,36,206.1,,830,206,0,183,,7,65,6,1,,,10,1,0.524,7.8,22.0,2,100
1952,PL,阪急ブレーブス,81783878,野口　二郎,,0.0,-25.8,2.21,1,1,12,36.2,,151,36,0,44,,6,5,0,0,,,0,0,0.5,3.3,29.1,0,8
1952,PL,阪急ブレーブス,63963801,原田　孝一,,0.0,-13.9,1.88,9,7,30,128.1,,539,128,0,113,,2,38,0,2,,,5,3,0.562,7.1,21.0,4,72
1952,PL,阪急ブレーブス,41743898,宮沢　基一郎,,0.0,-20.9,2.26,1,1,18,61.1,,277,61,0,77,,7,19,0,0,,,0,0,0.5,6.9,27.8,2,18
1952,PL,南海ホークス,71173805,井上　慎一,,0.0,-14.0,2.0,3,2,19,55.0,,243,55,,55,,4,21,0,1,,,1,0,0.6,8.6,22.6,3,20
1952,PL,南海ホークス,21123805,今井　洋行,,0.0,-12.7,2.1,0,1,9,16.2,,71,16,0,18,,0,9,0,0,,,0,0,0.0,12.7,25.4,0,3
1952,PL,南海ホークス,81583801,江藤　正,,0.06,-16.2,1.97,11,10,32,163.2,,691,163,0,159,,6,47,1,0,,,7,0,0.524,6.8,23.0,0,58
1952,PL,南海ホークス,71373805,小畑　正治,,0.0,-1.4,1.57,1,0,15,35.0,,143,35,,20,,2,18,0,0,,,1,0,1.0,12.6,14.0,2,7
1952,PL,南海ホークス,91393805,大神　武俊,,0.0,-13.0,1.9,8,5,32,137.0,,578,137,,123,,9,48,0,0,,,3,1,0.615,8.3,21.3,5,70
1952,PL,南海ホークス,81583805,岸本　千明,,0.0,66.7,1.0,0,0,1,1.0,,6,1,,0,,0,4,0,0,,,0,0,0.0,66.7,0.0,0,0
1952,PL,南海ホークス,31533897,中原　宏,,0.1,-13.7,1.87,11,5,33,178.2,,730,178,0,156,,15,56,2,2,,,6,0,0.688,7.7,21.4,3,84
1952,PL,南海ホークス,61363894,中谷　信夫,,0.0,-13.2,1.93,7,8,45,130.2,,537,130,0,121,,10,50,0,2,,,0,0,0.467,9.3,22.5,4,48
1952,PL,南海ホークス,53953801,服部　武夫,,0.1,-3.4,1.71,16,6,40,187.0,,784,187,,132,,7,105,2,4,,,2,1,0.727,13.4,16.8,6,85
1952,PL,南海ホークス,93493801,安田　昌雄,,0.0,0.0,1.33,0,0,2,3.0,,9,3,,1,,0,1,0,0,,,0,0,0.0,11.1,11.1,0,2
1952,PL,南海ホークス,61963896,柚木　進,,0.0,-17.9,1.83,19,7,40,193.0,,739,193,,160,,6,28,0,1,,,9,2,0.731,3.8,21.7,2,104
1952,PL,東急フライヤーズ,11313894,緒方　俊明,,0.0,-24.4,2.56,0,3,3,9.0,,45,9,,14,,1,3,0,0,,,0,0,0.0,6.7,31.1,0,2
1952,PL,東急フライヤーズ,21323803,金城　政夫,,0.0,-20.0,3.12,0,0,1,3.2,,20,3,0,7,,1,3,0,0,,,0,0,0.0,15.0,35.0,0,2
1952,PL,東急フライヤーズ,31433801,桑名　重治,,0.06,-21.6,2.09,6,9,30,147.1,,617,147,0,160,,13,27,1,1,,,9,1,0.4,4.4,25.9,2,29
1952,PL,東急フライヤーズ,13313801,樽井　清一,,0.05,-17.8,2.07,9,14,40,194.0,,826,194,,208,,18,61,1,2,,,12,3,0.391,7.4,25.2,4,48
1952,PL,東急フライヤーズ,83383801,寺川　昭二,,0.0,-13.8,1.9,7,7,42,174.0,,711,174,,156,,8,58,0,4,,,1,0,0.5,8.2,21.9,1,44
1952,PL,東急フライヤーズ,61063805,東泉　東二,,1.93,-26.5,2.64,0,0,6,14.0,,68,14,,23,,2,5,3,0,,,0,0,0.0,7.4,33.8,0,6
1952,PL,東急フライヤーズ,11913896,松本　忠繁,,0.21,-13.6,1.94,8,7,30,131.2,,566,131,0,124,,8,47,3,1,,,6,1,0.533,8.3,21.9,2,39
1952,PL,東急フライヤーズ,71973803,宮沢　澄也,,0.08,-16.0,2.07,8,9,32,119.2,,513,119,0,128,,10,46,1,0,,,1,1,0.471,9.0,25.0,0,30
1952,PL,東急フライヤーズ,91893805,山本　光一,,0.0,-15.6,2.1,0,1,15,28.1,,128,28,0,31,,6,11,0,2,,,0,0,0.0,8.6,24.2,0,10
1952,PL,東急フライヤーズ,11913898,米川　泰夫,,0.0,-14.6,1.85,1,2,5,23.2,,96,23,0,20,,0,6,0,0,,,2,0,0.333,6.2,20.8,2,7
1952,PL,大映スターズ,01103803,飯尾　為男,,1.5,-15.0,2.42,0,2,5,12.0,,60,12,,17,,1,8,2,0,,,0,0,0.0,13.3,28.3,1,2
1952,PL,大映スターズ,21123898,小川　善治,,0.0,-17.6,2.04,4,15,31,160.0,,666,160,,167,,13,50,0,4,,,6,1,0.211,7.5,25.1,0,47
1952,PL,大映スターズ,31533896,塩見　栄一,,0.9,-6.1,1.5,0,0,4,10.0,,33,10,,5,,0,3,1,0,,,0,0,0.0,9.1,15.2,0,3
1952,PL,大映スターズ,51253872,スタルヒン,,0.0,-16.5,1.97,8,10,24,150.1,,618,150,0,145,,9,43,0,3,,,12,1,0.444,7.0,23.5,2,44
1952,PL,大映スターズ,03103801,高松　利夫,,0.07,-12.4,2.0,9,8,31,128.2,,555,128,0,129,,11,60,1,2,,,5,0,0.529,10.8,23.2,2,61
1952,PL,大映スターズ,11713898,林　義一,,0.0,-17.3,1.92,15,15,40,269.2,,1097,269,0,249,,17,59,0,3,,,20,3,0.5,5.4,22.7,4,72
1952,PL,大映スターズ,51753898,姫野　好治,,0.0,-14.9,1.92,13,11,36,222.1,,929,222,0,204,,14,66,0,1,,,14,1,0.542,7.1,22.0,7,97
1952,PL,大映スターズ,43443801,薮本　和男,,0.0,-16.3,1.96,6,4,26,120.2,,508,120,0,116,,9,33,0,1,,,5,1,0.6,6.5,22.8,3,37
1952,PL,毎日オリオンズ,01103801,荒巻　淳,,0.0,-16.4,1.85,7,6,26,110.1,,439,110,0,94,,7,22,0,2,,,4,1,0.538,5.0,21.4,0,55
1952,PL,毎日オリオンズ,01103805,稲垣　定雄,,0.0,-13.7,2.17,0,1,6,15.2,,73,15,0,18,,4,8,0,0,,,0,0,0.0,11.0,24.7,0,3
1952,PL,毎日オリオンズ,01503801,上野　重雄,,0.0,-18.2,2.0,14,6,33,149.0,,626,149,,149,,13,35,0,0,,,4,2,0.7,5.6,23.8,1,41
1952,PL,毎日オリオンズ,11713801,榎原　好,,0.16,-15.9,2.0,8,5,26,112.2,,472,112,0,112,,7,37,2,2,,,4,1,0.615,7.8,23.7,1,71
1952,PL,毎日オリオンズ,41443801,佐藤　平七,,0.0,-17.4,3.75,0,0,2,3.2,,23,3,0,9,,1,5,0,0,,,0,0,0.0,21.7,39.1,0,0
1952,PL,毎日オリオンズ,11913805,清水　宏員,,0.0,-12.5,1.75,1,0,1,4.0,,16,4,,3,,1,1,0,0,,,0,0,1.0,6.2,18.8,1,1
1952,PL,毎日オリオンズ,91993805,末吉　俊信,,0.1,-7.8,1.91,6,6,25,89.0,,370,89,,81,,4,52,1,4,,,1,0,0.5,14.1,21.9,1,32
1952,PL,毎日オリオンズ,01003805,滝　良彦,,0.0,-75.0,30.0,0,0,1,0.1,,4,0,0,3,,1,0,0,0,,,0,0,0.0,0.0,75.0,0,0
1952,PL,毎日オリオンズ,41943892,野村　武史,,0.0,-18.9,1.99,16,9,39,195.1,,792,195,0,193,,11,43,0,1,,,8,1,0.64,5.4,24.4,2,53
1952,PL,毎日オリオンズ,01703896,別当　薫,,0.0,25.0,1.0,0,0,1,1.0,,4,1,,0,,0,1,0,0,,,0,0,0.0,25.0,0.0,0,1
1952,PL,毎日オリオンズ,01603805,宮崎　一夫,,0.1,-15.6,1.86,5,2,25,93.2,,372,93,0,80,,4,22,1,0,,,1,1,0.714,5.9,21.5,2,28
1952,PL,毎日オリオンズ,81683805,守田　政人,,0.0,2.3,1.76,2,1,10,38.1,,174,38,0,29,,0,33,0,1,,,0,0,0.667,19.0,16.7,1,9
1952,PL,毎日オリオンズ,01903803,山根　俊英,,0.05,-13.5,1.81,12,6,42,192.0,,761,192,,156,,11,53,1,7,,,4,0,0.667,7.0,20.5,2,81
1952,PL,毎日オリオンズ,61863805,和田　勇,,0.0,-10.5,1.76,4,3,22,79.2,,313,79,0,60,,1,27,0,0,,,1,1,0.571,8.6,19.2,0,46
1952,PL,近鉄パールス,41943801,香川　秀光,,0.13,-19.9,2.17,1,4,21,69.0,,306,69,,81,,4,20,1,1,,,0,0,0.2,6.5,26.5,1,25
1952,PL,近鉄パールス,51553892,黒尾　重明,,0.0,-20.9,2.11,2,2,19,71.1,,302,71,0,79,,2,16,0,2,,,1,0,0.5,5.3,26.2,1,23
