year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
1983,PL,近鉄バファローズ,1003845,平野　光泰,M.Hirano,121.0,491.0,456.0,39.0,133.0,22.0,2.0,10.0,189.0,48.0,3.0,0,5.0,3.0,23.0,0,3.0,53.0,5.0,0.292,0.328,0.414,0.742,99.0,0.122,0.03600000000000003,0.45,4.684317718940937,10.79429735234216,0.4339622641509434,0.3106060606060606,0.2511,465.99999999999994,0.17982456140350878,0.6646341463414634,0.292,133.0,10.0,48.0,121.0,491.0,456.0,99.0,22.0,2.0,39.0,0.328,0.414,23.0,0,3.0,,189.0,3.0,0,5.0,3.0,,61.553235908141964,59.286
1983,PL,北海道日本ハムファイターズ,1103844,大宮　龍男,T.Oomiya,123.0,417.0,369.0,45.0,85.0,13.0,1.0,8.0,124.0,34.0,7.0,0,11.0,1.0,33.0,0,3.0,54.0,5.0,0.23,0.298,0.336,0.634,63.0,0.10600000000000001,0.06799999999999998,0.404,7.913669064748201,12.949640287769784,0.6111111111111112,0.25,0.21810000000000002,410.0,0.2140921409214092,0.5778546712802768,0.23,85.0,8.0,34.0,123.0,417.0,369.0,63.0,13.0,1.0,45.0,0.298,0.336,33.0,0,3.0,,124.0,7.0,0,11.0,1.0,,36.398009950248756,38.728
1983,PL,近鉄バファローズ,1303863,大石　大二郎,D.Ooishi,130.0,592.0,506.0,90.0,145.0,23.0,6.0,10.0,210.0,46.0,14.0,0,14.0,2.0,62.0,0,8.0,64.0,4.0,0.287,0.372,0.415,0.7869999999999999,106.0,0.128,0.08500000000000002,0.5,10.472972972972974,10.81081081081081,0.96875,0.31105990783410137,0.27115,510.3333333333333,0.27865612648221344,0.8054794520547945,0.287,145.0,10.0,46.0,130.0,592.0,506.0,106.0,23.0,6.0,90.0,0.372,0.415,62.0,0,8.0,,210.0,14.0,0,14.0,2.0,,76.53169014084507,80.44199999999998
1983,PL,北海道日本ハムファイターズ,1703861,T.ソレイタ,T.Solaita,127.0,516.0,436.0,64.0,110.0,16.0,1.0,36.0,236.0,84.0,2.0,0,0.0,6.0,72.0,0,2.0,71.0,14.0,0.252,0.357,0.541,0.898,57.0,0.28900000000000003,0.10499999999999998,0.646,13.953488372093023,13.75968992248062,1.0140845070422535,0.2208955223880597,0.2959,537.3333333333334,0.45871559633027525,0.9176470588235294,0.252,110.0,36.0,84.0,127.0,516.0,436.0,57.0,16.0,1.0,64.0,0.357,0.541,72.0,0,2.0,,236.0,2.0,0,0.0,6.0,,84.55118110236221,85.732
1983,PL,千葉ロッテマリーンズ,21023844,L.リー,L.Lee,126.0,524.0,479.0,71.0,152.0,26.0,1.0,25.0,255.0,82.0,1.0,0,0.0,3.0,41.0,0,1.0,63.0,15.0,0.317,0.37,0.532,0.902,100.0,0.21500000000000002,0.05299999999999999,0.585,7.8244274809160315,12.022900763358779,0.6507936507936508,0.3223350253807107,0.2995,547.3333333333334,0.302713987473904,0.8713450292397661,0.317,152.0,25.0,82.0,126.0,524.0,479.0,100.0,26.0,1.0,71.0,0.37,0.532,41.0,0,1.0,,255.0,1.0,0,0.0,3.0,,94.64423076923077,87.75400000000002
1983,PL,オリックス・バファローズ,21223867,ブーマー,B.Wells,121.0,483.0,450.0,60.0,137.0,22.0,1.0,17.0,212.0,62.0,2.0,0,0.0,2.0,28.0,0,3.0,38.0,14.0,0.304,0.348,0.471,0.819,97.0,0.16699999999999998,0.043999999999999984,0.5149999999999999,5.797101449275362,7.867494824016563,0.7368421052631579,0.3022670025188917,0.27435,505.0,0.23333333333333334,0.7492354740061162,0.304,137.0,17.0,62.0,121.0,483.0,450.0,97.0,22.0,1.0,60.0,0.348,0.471,28.0,0,3.0,,212.0,2.0,0,0.0,2.0,,73.17991631799163,69.77600000000001
1983,PL,千葉ロッテマリーンズ,21923842,水上　善雄,Y.Mizukami,130.0,468.0,427.0,49.0,129.0,22.0,4.0,9.0,186.0,54.0,6.0,0,5.0,2.0,32.0,0,2.0,73.0,7.0,0.302,0.352,0.436,0.788,94.0,0.134,0.04999999999999999,0.486,6.837606837606838,15.598290598290598,0.4383561643835616,0.345821325648415,0.26739999999999997,497.3333333333333,0.2224824355971897,0.740983606557377,0.302,129.0,9.0,54.0,130.0,468.0,427.0,94.0,22.0,4.0,49.0,0.352,0.436,32.0,0,2.0,,186.0,6.0,0,5.0,2.0,,65.24183006535948,63.05599999999999
1983,PL,福岡ソフトバンクホークス,31333844,久保寺　雄二,Y.Kubodera,123.0,459.0,422.0,58.0,111.0,14.0,2.0,11.0,162.0,45.0,10.0,0,9.0,3.0,23.0,0,2.0,49.0,11.0,0.263,0.302,0.384,0.6859999999999999,84.0,0.121,0.03899999999999998,0.423,5.010893246187364,10.675381263616558,0.46938775510204084,0.273972602739726,0.2319,430.0,0.1990521327014218,0.6118012422360248,0.263,111.0,11.0,45.0,123.0,459.0,422.0,84.0,14.0,2.0,58.0,0.302,0.384,23.0,0,2.0,,162.0,10.0,0,9.0,3.0,,48.78202247191011,49.571999999999996
1983,PL,埼玉西武ライオンズ,31433820,山崎　裕之,H.Yamazaki,128.0,600.0,515.0,96.0,148.0,30.0,3.0,18.0,238.0,82.0,3.0,0,9.0,7.0,67.0,0,2.0,52.0,12.0,0.287,0.367,0.462,0.829,97.0,0.17500000000000004,0.08000000000000002,0.542,11.166666666666666,8.666666666666668,1.2884615384615385,0.28761061946902655,0.28065,521.0,0.3106796116504854,0.8179419525065963,0.287,148.0,18.0,82.0,128.0,600.0,515.0,97.0,30.0,3.0,96.0,0.367,0.462,67.0,0,2.0,,238.0,3.0,0,9.0,7.0,,87.92096219931271,86.48400000000001
1983,PL,北海道日本ハムファイターズ,31533844,島田　誠,M.Shimada,127.0,575.0,489.0,93.0,148.0,21.0,4.0,14.0,219.0,40.0,18.0,0,12.0,3.0,65.0,0,6.0,42.0,5.0,0.303,0.389,0.448,0.837,109.0,0.14500000000000002,0.08600000000000002,0.534,11.304347826086957,7.304347826086957,1.5476190476190477,0.3073394495412844,0.28705,538.3333333333334,0.3149284253578732,0.8901734104046243,0.303,148.0,14.0,40.0,127.0,575.0,489.0,109.0,21.0,4.0,93.0,0.389,0.448,65.0,0,6.0,,219.0,18.0,0,12.0,3.0,,84.20036101083032,87.19200000000001
