year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,player_name,raw_team_name,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,単打,敬遠,K,盗塁死,GIDP,RC,XR
1948,PRE,金星,11013874,西沢　道夫,,130.0,554.0,508.0,52.0,132.0,22.0,3.0,16.0,208.0,60.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,33.0,0.0,0.26,0.321,0.409,0.73,91.0,0.14899999999999997,0.061,0.47,8.303249097472925,5.956678700361011,1.393939393939394,0.25272331154684097,0.24669999999999997,457.33333333333337,0.24606299212598426,0.6835106382978723,,,,130.0,554.0,508.0,52.0,132.0,22.0,3.0,16.0,208.0,60.0,3.0,,0.0,0.0,46.0,0.0,,,0.26,0.409,0.321,91.0,0.0,,0.0,,66.83032490974729,66.37200000000001
1948,PRE,阪神タイガース,11013895,安居　玉一,,138.0,561.0,538.0,42.0,146.0,25.0,8.0,7.0,208.0,63.0,4.0,0.0,4.0,0.0,17.0,0.0,2.0,25.0,0.0,0.271,0.296,0.387,0.683,106.0,0.11599999999999999,0.024999999999999967,0.412,3.0303030303030303,4.45632798573975,0.68,0.274703557312253,0.22995,425.0,0.15427509293680297,0.5892857142857143,,,,138.0,561.0,538.0,42.0,146.0,25.0,8.0,7.0,208.0,63.0,4.0,,4.0,0.0,17.0,2.0,,,0.271,0.387,0.296,106.0,0.0,,0.0,,61.08828828828829,57.97399999999998
1948,PRE,急映フライヤーズ,11413874,皆川　定之,,134.0,575.0,494.0,61.0,104.0,13.0,3.0,1.0,126.0,28.0,9.0,0.0,21.0,0.0,60.0,0.0,0.0,53.0,0.0,0.211,0.296,0.255,0.5509999999999999,87.0,0.04400000000000001,0.08499999999999999,,10.434782608695652,9.217391304347826,1.1320754716981132,0.2340909090909091,0.19695,381.0,0.18421052631578946,0.5,,急　映,,134.0,575.0,494.0,61.0,104.0,13.0,3.0,1.0,126.0,28.0,9.0,,21.0,0.0,60.0,0.0,,,0.211,0.255,0.296,87.0,0.0,,0.0,,37.29963898916967,40.620000000000005
1948,PRE,阪神タイガース,11513896,後藤　次男,,140.0,532.0,511.0,46.0,129.0,20.0,3.0,5.0,170.0,36.0,6.0,0.0,6.0,0.0,15.0,0.0,0.0,20.0,0.0,0.252,0.274,0.333,0.607,101.0,0.08100000000000002,0.02200000000000002,0.355,2.819548872180451,3.7593984962406015,0.75,0.2551440329218107,0.20655,385.0,0.12133072407045009,0.5,,,,140.0,532.0,511.0,46.0,129.0,20.0,3.0,5.0,170.0,36.0,6.0,,6.0,0.0,15.0,0.0,,,0.252,0.333,0.274,101.0,0.0,,0.0,,46.539923954372625,43.814000000000014
1948,PRE,阪急ブレーブス,11913874,塚本　博睦,,135.0,592.0,536.0,72.0,139.0,17.0,9.0,4.0,186.0,48.0,11.0,0.0,8.0,0.0,47.0,0.0,1.0,27.0,0.0,0.259,0.32,0.347,0.667,109.0,0.08799999999999997,0.061,0.408,7.939189189189189,4.5608108108108105,1.7407407407407407,0.26732673267326734,0.23075,435.66666666666663,0.1958955223880597,0.6171284634760705,,,,135.0,592.0,536.0,72.0,139.0,17.0,9.0,4.0,186.0,48.0,11.0,,8.0,0.0,47.0,1.0,,,0.259,0.347,0.32,109.0,0.0,,0.0,,59.341337907375646,60.77400000000001
1948,PRE,中日ドラゴンズ,1303874,大沢　伸夫,,127.0,523.0,483.0,38.0,132.0,24.0,2.0,3.0,169.0,53.0,8.0,0.0,0.0,0.0,38.0,0.0,2.0,17.0,0.0,0.273,0.329,0.35,0.679,103.0,0.07699999999999996,0.055999999999999994,0.4059999999999999,7.265774378585086,3.2504780114722758,2.235294117647059,0.2786177105831533,0.23555,445.66666666666663,0.17184265010351968,0.6182336182336182,,,,127.0,523.0,483.0,38.0,132.0,24.0,2.0,3.0,169.0,53.0,8.0,,0.0,0.0,38.0,2.0,,,0.273,0.35,0.329,103.0,0.0,,0.0,,55.143953934740885,55.422000000000004
1948,PRE,読売ジャイアンツ,1303876,川上　哲治,,135.0,566.0,504.0,69.0,150.0,26.0,6.0,25.0,263.0,105.0,3.0,0.0,0.0,0.0,58.0,0.0,4.0,26.0,0.0,0.298,0.375,0.522,0.897,93.0,0.22400000000000003,0.07700000000000001,0.599,10.247349823321555,4.593639575971731,2.230769230769231,0.27593818984547464,0.29925,549.0,0.34523809523809523,0.9265536723163842,,,,135.0,566.0,504.0,69.0,150.0,26.0,6.0,25.0,263.0,105.0,3.0,,0.0,0.0,58.0,4.0,,,0.298,0.522,0.375,93.0,0.0,,0.0,,97.33807829181495,93.76799999999997
1948,PRE,南海ホークス,1303892,河西　俊雄,,138.0,559.0,504.0,70.0,131.0,12.0,2.0,1.0,150.0,33.0,14.0,0.0,16.0,0.0,38.0,0.0,1.0,18.0,0.0,0.26,0.313,0.298,0.611,116.0,0.03799999999999998,0.05299999999999999,0.351,6.797853309481217,3.2200357781753133,2.111111111111111,0.26804123711340205,0.21534999999999999,412.3333333333333,0.14087301587301587,0.5442359249329759,,,,138.0,559.0,504.0,70.0,131.0,12.0,2.0,1.0,150.0,33.0,14.0,,16.0,0.0,38.0,1.0,,,0.26,0.298,0.313,116.0,0.0,,0.0,,46.77121771217712,48.995999999999995
1948,PRE,中日ドラゴンズ,1303896,国枝　利通,,105.0,446.0,403.0,39.0,94.0,11.0,1.0,4.0,119.0,31.0,10.0,0.0,11.0,0.0,29.0,0.0,3.0,24.0,0.0,0.233,0.29,0.295,0.585,78.0,0.06199999999999997,0.05699999999999997,0.352,6.502242152466367,5.381165919282512,1.2083333333333333,0.24,0.20425,388.3333333333333,0.1588089330024814,0.5210355987055016,,,,105.0,446.0,403.0,39.0,94.0,11.0,1.0,4.0,119.0,31.0,10.0,,11.0,0.0,29.0,3.0,,,0.233,0.295,0.29,78.0,0.0,,0.0,,33.88194444444444,35.798
1948,PRE,金星,1403872,坪内　道典,,124.0,554.0,505.0,65.0,143.0,24.0,8.0,2.0,189.0,41.0,11.0,0.0,0.0,0.0,40.0,0.0,9.0,30.0,0.0,0.283,0.347,0.374,0.721,109.0,0.09100000000000003,0.064,,7.2202166064981945,5.415162454873646,1.3333333333333333,0.29809725158562367,0.24964999999999998,471.66666666666663,0.19207920792079208,0.6878453038674033,,金　星,,124.0,554.0,505.0,65.0,143.0,24.0,8.0,2.0,189.0,41.0,11.0,,0.0,0.0,40.0,9.0,,,0.283,0.374,0.347,109.0,0.0,,0.0,,63.46238532110092,65.654
