year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1951,PL,阪急ブレーブス,31133898,阿部　八郎,,0.0,-12.0,1.91,12,14,40,254.2,,1098,254,0,232,,12,100,0,2,,,14,2,0.462,9.1,21.1,1,150
1951,PL,阪急ブレーブス,21023801,川口　敬次郎,,0.0,-18.2,2.24,0,0,13,36.1,,176,36,0,45,,4,13,0,0,,,0,0,0.0,7.4,25.6,3,9
1951,PL,阪急ブレーブス,01603801,柴田　英治,,0.05,-21.0,2.05,6,13,33,175.2,,734,175,0,184,,9,30,1,0,,,5,1,0.316,4.1,25.1,6,55
1951,PL,阪急ブレーブス,21523803,鈴木　幸雄,,0.14,-17.0,1.95,4,3,19,65.0,,270,65,,62,,3,16,1,0,,,2,1,0.571,5.9,23.0,5,23
1951,PL,阪急ブレーブス,61563895,天保　義夫,,0.06,-16.2,1.99,9,10,29,157.1,,665,157,0,156,,9,48,1,1,,,9,1,0.474,7.2,23.5,1,44
1951,PL,阪急ブレーブス,81783878,野口　二郎,,0.0,-23.2,2.12,4,5,19,75.1,,315,75,0,84,,9,11,0,1,,,3,0,0.444,3.5,26.7,0,14
1951,PL,阪急ブレーブス,63963801,原田　孝一,,0.26,-12.0,2.01,2,3,21,68.2,,308,68,0,69,,3,32,2,0,,,1,1,0.4,10.4,22.4,0,25
1951,PL,阪急ブレーブス,41743898,宮沢　基一郎,,0.35,-17.4,2.12,0,3,9,26.0,,115,26,,29,,3,9,1,0,,,0,0,0.0,7.8,25.2,2,8
1951,PL,南海ホークス,81583801,江藤　正,,0.03,-16.9,1.85,24,5,45,268.2,,1065,268,0,227,,16,47,1,0,,,17,1,0.828,4.4,21.3,2,100
1951,PL,南海ホークス,01703801,大崎　憲司,,0.64,-18.3,2.28,0,1,11,28.1,,131,28,0,36,,1,12,2,0,,,0,0,0.0,9.2,27.5,2,5
1951,PL,南海ホークス,33133801,田中　達夫,,0.0,-5.8,1.56,0,2,8,21.2,,86,21,0,12,,0,7,0,0,,,0,0,0.0,8.1,14.0,0,3
1951,PL,南海ホークス,31533897,中原　宏,,0.0,-16.7,2.15,4,1,8,33.0,,144,33,,38,,1,14,0,2,,,1,0,0.8,9.7,26.4,0,9
1951,PL,南海ホークス,61363894,中谷　信夫,,0.1,-9.4,1.76,14,2,40,180.2,,731,180,0,138,,11,69,2,0,,,4,2,0.875,9.4,18.9,3,69
