year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1979,PL,阪急ブレーブス,71173808,足立　光宏,,0.0,-25.4,2.24,0,1,4,16.1,0,71,16,0,20,,4,2,0,0,,,0,0,0.0,2.8,28.2,0,7
1979,PL,阪急ブレーブス,31333843,稲葉　光雄,,0.06,-16.6,2.02,11,9,23,151.0,0,646,151,,154,,23,47,1,1,,,9,1,0.55,7.3,23.8,5,84
1979,PL,阪急ブレーブス,51353843,今井　雄太郎,,0.0,-14.7,2.08,11,7,27,166.2,0,727,166,0,179,,12,72,0,6,,,9,2,0.611,9.9,24.6,7,65
1979,PL,阪急ブレーブス,71373844,三枝　規悦,,0.0,-21.9,2.17,4,1,16,57.1,0,251,57,0,67,,15,12,0,0,,,2,0,0.8,4.8,26.7,3,23
1979,PL,阪急ブレーブス,91393844,佐藤　義則,,0.0,-16.1,2.14,10,6,26,155.1,2,696,155,0,177,,22,65,0,1,,,11,1,0.625,9.3,25.4,4,92
1979,PL,阪急ブレーブス,21523822,白石　静生,,0.0,-13.8,2.03,8,5,20,125.1,0,557,125,0,129,,23,52,0,1,,,5,0,0.615,9.3,23.2,4,57
1979,PL,阪急ブレーブス,01503848,鈴木　弘規,,0.0,0.0,1.0,0,0,1,1.0,0,5,1,,0,,0,0,0,0,,,0,0,0.0,0.0,0.0,0,1
1979,PL,阪急ブレーブス,61963845,永本　裕章,,0.0,-17.9,2.06,2,0,25,73.2,3,312,73,0,78,,3,22,0,1,,,0,0,1.0,7.1,25.0,3,37
1979,PL,阪急ブレーブス,91993846,三浦　広之,,0.07,-18.3,1.98,7,10,19,126.1,0,520,126,0,124,,20,29,1,1,,,8,1,0.412,5.6,23.8,5,87
1979,PL,阪急ブレーブス,51253828,山田　久志,,0.0,-15.1,1.89,21,5,36,237.0,4,973,237,,211,,17,64,0,1,,,20,3,0.808,6.6,21.7,9,115
1979,PL,阪急ブレーブス,51753840,山口　高志,,0.0,2.9,1.59,1,0,16,32.0,6,136,32,,19,,4,23,0,0,,,0,0,1.0,16.9,14.0,3,26
1979,PL,南海ホークス,61563825,大石　弥太郎,,0.0,-22.8,2.18,0,0,36,57.0,0,250,57,,67,,7,10,0,0,,,0,0,0.0,4.0,26.8,3,35
1979,PL,南海ホークス,41343845,金城　基泰,,0.0,-8.1,1.67,4,5,53,98.1,16,384,98,0,66,,14,35,0,1,,,0,0,0.444,9.1,17.2,5,69
