year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
1999,CL,東京ヤクルトスワローズ,11613881,古田　敦也,A.Furuta,128.0,548.0,483.0,79.0,146.0,26.0,2.0,13.0,215.0,71.0,3.0,0,4.0,7.0,51.0,0,3.0,41.0,8.0,0.302,0.368,0.445,0.813,105.0,0.14300000000000002,0.066,0.511,9.306569343065693,7.481751824817519,1.2439024390243902,0.30504587155963303,0.27685,516.3333333333333,0.2546583850931677,0.7884057971014493,0.302,146.0,13.0,71.0,128.0,548.0,483.0,105.0,26.0,2.0,79.0,0.368,0.445,51.0,0,3.0,,215.0,3.0,0,4.0,7.0,,79.31647940074906,77.35400000000001
1999,CL,中日ドラゴンズ,11613884,L.ゴメス,L.Gomez,133.0,560.0,474.0,84.0,141.0,19.0,1.0,36.0,270.0,109.0,1.0,0,0.0,9.0,70.0,0,7.0,59.0,15.0,0.297,0.389,0.57,0.959,85.0,0.27299999999999996,0.09200000000000003,0.6619999999999999,12.5,10.535714285714286,1.1864406779661016,0.2706185567010309,0.31755,579.0,0.4219409282700422,1.0,0.297,141.0,36.0,109.0,133.0,560.0,474.0,85.0,19.0,1.0,84.0,0.389,0.57,70.0,0,7.0,,270.0,1.0,0,0.0,9.0,,104.72426470588235,102.016
1999,CL,中日ドラゴンズ,1703883,関川　浩一,K.Sekikawa,135.0,591.0,522.0,74.0,172.0,28.0,6.0,4.0,224.0,60.0,11.0,0,11.0,8.0,48.0,0,2.0,73.0,6.0,0.33,0.383,0.429,0.812,134.0,0.09899999999999998,0.05299999999999999,0.482,8.121827411167512,12.351945854483926,0.6575342465753424,0.3708609271523179,0.2796,526.0,0.21264367816091953,0.800561797752809,0.33,172.0,4.0,60.0,135.0,591.0,522.0,134.0,28.0,6.0,74.0,0.383,0.429,48.0,0,2.0,,224.0,11.0,0,11.0,8.0,,86.45614035087719,83.34
1999,CL,阪神タイガース,1903881,SHINJO,T.Shinjou（shinjou,123.0,507.0,471.0,53.0,120.0,21.0,7.0,14.0,197.0,58.0,2.0,0,2.0,1.0,23.0,0,10.0,72.0,21.0,0.255,0.303,0.418,0.721,78.0,0.16299999999999998,0.04799999999999999,0.4659999999999999,4.536489151873767,14.201183431952662,0.3194444444444444,0.27461139896373055,0.24085,442.33333333333337,0.21656050955414013,0.6236559139784946,0.255,120.0,14.0,58.0,123.0,507.0,471.0,78.0,21.0,7.0,53.0,0.303,0.418,23.0,0,10.0,,197.0,2.0,0,2.0,1.0,,57.026315789473685,58.412
1999,CL,読売ジャイアンツ,1903888,二岡　智宏,T.Nioka,126.0,462.0,418.0,49.0,121.0,14.0,0.0,18.0,189.0,51.0,2.0,0,6.0,3.0,33.0,0,2.0,92.0,7.0,0.289,0.342,0.452,0.794,89.0,0.16300000000000003,0.05300000000000005,0.5050000000000001,7.142857142857142,19.913419913419915,0.358695652173913,0.3311897106109325,0.2669,492.6666666666667,0.24641148325358853,0.743421052631579,0.289,121.0,18.0,51.0,126.0,462.0,418.0,89.0,14.0,0.0,49.0,0.342,0.452,33.0,0,2.0,,189.0,2.0,0,6.0,3.0,,64.53658536585365,63.303999999999995
1999,CL,中日ドラゴンズ,21123866,立浪　和義,K.Tatsunami,123.0,477.0,417.0,54.0,111.0,32.0,1.0,4.0,157.0,53.0,2.0,0,4.0,4.0,51.0,0,1.0,44.0,14.0,0.266,0.345,0.376,0.721,74.0,0.10999999999999999,0.07899999999999996,0.4549999999999999,10.69182389937107,9.224318658280922,1.1590909090909092,0.2868632707774799,0.24925,470.33333333333326,0.23741007194244604,0.659375,0.266,111.0,4.0,53.0,123.0,477.0,417.0,74.0,32.0,1.0,54.0,0.345,0.376,51.0,0,1.0,,157.0,2.0,0,4.0,4.0,,54.34615384615385,54.372
1999,CL,広島東洋カープ,31633881,前田　智徳,T.Maeda,108.0,428.0,392.0,53.0,118.0,17.0,0.0,12.0,171.0,65.0,1.0,0,2.0,5.0,25.0,0,4.0,36.0,8.0,0.301,0.345,0.436,0.7809999999999999,89.0,0.135,0.043999999999999984,0.48,5.841121495327103,8.411214953271028,0.6944444444444444,0.3037249283667622,0.26425,490.3333333333333,0.20153061224489796,0.7127659574468085,0.301,118.0,12.0,65.0,108.0,428.0,392.0,89.0,17.0,0.0,53.0,0.345,0.436,25.0,0,4.0,,171.0,1.0,0,2.0,5.0,,58.64028776978417,56.918000000000006
1999,CL,東京ヤクルトスワローズ,31833888,R.ペタジーニ,R.Petagine,134.0,576.0,452.0,97.0,147.0,23.0,2.0,44.0,306.0,112.0,1.0,0,0.0,1.0,116.0,0,7.0,91.0,13.0,0.325,0.469,0.677,1.146,78.0,0.35200000000000004,0.14399999999999996,0.821,20.13888888888889,15.79861111111111,1.2747252747252746,0.3238993710691824,0.38029999999999997,694.6666666666666,0.6106194690265486,1.3522012578616351,0.325,147.0,44.0,112.0,134.0,576.0,452.0,78.0,23.0,2.0,97.0,0.469,0.677,116.0,0,7.0,,306.0,1.0,0,0.0,1.0,,141.68661971830986,131.88
1999,CL,読売ジャイアンツ,31933882,仁志　敏久,T.Nishi,127.0,560.0,510.0,79.0,152.0,28.0,4.0,9.0,215.0,42.0,8.0,0,9.0,2.0,39.0,0,0.0,72.0,6.0,0.298,0.347,0.422,0.7689999999999999,111.0,0.124,0.04899999999999999,0.471,6.964285714285714,12.857142857142856,0.5416666666666666,0.33178654292343385,0.26165,487.66666666666663,0.21568627450980393,0.7197802197802198,0.298,152.0,9.0,42.0,127.0,560.0,510.0,111.0,28.0,4.0,79.0,0.347,0.422,39.0,0,0.0,,215.0,8.0,0,9.0,2.0,,74.79963570127505,72.00599999999999
1999,CL,中日ドラゴンズ,33133886,李　鍾範,J.Ri,123.0,484.0,424.0,76.0,101.0,20.0,5.0,9.0,158.0,33.0,7.0,0,13.0,2.0,38.0,0,7.0,62.0,6.0,0.238,0.31,0.373,0.683,67.0,0.135,0.07200000000000001,0.445,7.851239669421488,12.8099173553719,0.6129032258064516,0.2591549295774648,0.23275,434.33333333333337,0.24056603773584906,0.6382978723404256,0.238,101.0,9.0,33.0,123.0,484.0,424.0,67.0,20.0,5.0,76.0,0.31,0.373,38.0,0,7.0,,158.0,7.0,0,13.0,2.0,,47.53679653679654,50.516000000000005
