"player_id","name_ja"
"1003822","Ｒ．マヒナス"
"1003823","Ｒ．ディサ"
"1003824","ブレイザー"
"1003841","Ｊ．バビー"
"1003842","Ｔ．ロブソン"
"1003844","Ｊ．ライトル"
"1003846","レオン"
"1003860","Ｍ．パターソン"
"1003862","Ｍ．ブロハード"
"1103827","Ｇ．ウイルソン"
"1103842","Ｗ．ウイリアムス"
"1203808","Ｒ．ボトラ"
"1203822","Ｊ．ワード"
"1203841","Ａ．ポインター"
"1203867","Ｌ．フィルキンス"
"1203880","Ｓ．クールボー"
"1203889","Ｊ．ジョーンズ"
"1303827","Ｂ．クラウス"
"1303841","Ｃ．エメリー"
"1303860","Ｋ．カムストック"
"1303866","Ｄ．デシンセイ"
"1303898",""
"1403880","Ｔ．マッキントッシュ"
"1403882","Ｄ．コールズ"
"1403884","Ｂ．ギブンス"
"1403888","Ｓ．ウィッテム"
"1403889","Ｂ．トラックスラー"
"1405119","Ｌ．バーンズ"
"1503828","Ｊ．ジムタイル"
"1503840","Ｇ．ホプキンス"
"1503863","Ｗ．ケージ"
"1603882","Ｗ．フレーザー"
"1603884","Ｐ．ハイアット"
"1603886","Ｄ．クリーク"
"1603887","Ｊ．バーフィールド"
"1603888","Ｊ．ハッカミー"
"1603889","Ｋ．グロス"
"1605113","Ｔ．アンロー"
"1605119","Ｒ．ループ"
"1703845","Ｗ．スミス"
"1703846","Ｄ．ヒルトン"
"1703861","Ｔ．ソレイタ"
"1803884","Ｊ．トンプソン"
"1803885","Ｊ．ハウエル"
"1803886","Ｒ．マットソン"
"1803888","Ｂ．マニュエル"
"1805113","Ｍ．デルトロ"
"1805115","Ｊ．ターマン"
"1805117","Ｓ．コックス"
"1805119","マリオ"
"1903827","Ｊ．バーマ"
"1903849","Ｗ．パーカー"
"1903865","Ｄ．ブリッグス"
"3103881","Ｄ．マーフィー"
"3103884","Ｐ．マホームズ"
"3103885","Ａ．パウエル"
"3103886","Ｓ．デービソン"
"3103888","Ｃ．ポール"
"3105113","Ｔ．ミッチェル"
"3105117","Ｃ．ベイリー"
"3303881","Ｊ．ウィルソン"
"3305111","Ｊ．ナナリー"
"3305113","Ｓ．ギルバート"
"3305115","Ｏ．リナレス"
"3403868","Ｒ．アレン"
"3503809","Ｃ．ルイス"
"7303868","Ｏ．デストラーデ"
"11013863","Ｖ．ハリス"
"11213820","Ｐ．ホイタック"
"11213829","Ｐ．バーンサイド"
"11213847","Ｊ．ラフィーバー"
"11213849","Ｔ．レイ"
"11313805","Ｍ．オニール"
"11313840","シェーン"
"11313844","Ａ．ギャレット"
"11313867","Ｒ．オルセン"
"11413867","マイク"
"11413880","Ｄ．パウエル"
"11413882","Ｔ．ペレス"
"11413889","Ｋ．アボット"
"11513822","Ｌ．ジャクソン"
"11513840","Ｊ．ネトルス"
"11513841","Ｆ．カストロ"
"11513842","Ｗ．ジェナス"
"11613807","Ｐ．ペイン"
"11613882","Ｒ．ボルトン"
"11613884","Ｌ．ゴメス"
"11613886","Ｂ．ウィリアムズ"
"11613887","Ｊ．トレンティーノ"
"11613888","Ｍ．スミス"
"11613889","Ｄ．スコット"
"11615111","Ａ．エイバッド"
"11615119","Ｔ．マウンス"
"11713846","Ｂ．トーラン"
"11813882","Ｋ．マース"
"11813884","Ｂ．ミラッキ"
"11813885","Ｂ．ビーン"
"11813886","Ｍ．ダンカン"
"11813887","Ｂ．ジャコビー"
"11813888","Ｍ．ブロワーズ"
"11815111","Ｈ．バトル"
"11815115","Ｍ．グラン"
"11913808","Ｊ．サディナ"
"11913829","Ｄ．ストーン"
"13113884","Ｐ．カステヤーノ"
"13113885","Ｒ．チェコ"
"13113886","Ｂ．リベラ"
"13113888","Ｍ．ニエベス"
"13115111","Ｌ．メローニ"
"13115113","Ｓ．バワーズ"
"13115115","Ｓ．ブレット"
"13313881","Ｍ．ブラウン"
"13313883","デビッド"
"13313886","Ｂ．ウォーレン"
"13313888","Ｋ．ミラー"
"13315111","Ｒ．ディアス"
"13315113","Ｅ．ヤーナル"
"13315115","Ｍ．ジョンソン"
"13413868","Ｗ．ロードン"
"17313868","Ｊ．アイケルバーガー"
"21023821","ブルーム"
"21023841","Ｆ．バレンタイン"
"21023844","Ｌ．リー"
"21023846","Ｇ．ロックレア"
"21023862","Ｇ．ブコビッチ"
"21123840","ゲーリー"
"21123883","Ｈ．デラクルーズ"
"21223828","Ａ．ロジャース"
"21223864","ランス"
"21223867","ブーマー"
"21223880","Ｊ．シュワーズ"
"21223889","Ｄ．グラッデン"
"21323826","Ｗ．カークランド"
"21323827","クレス"
"21323848","Ｗ．ギャレット"
"21423807","Ｃ．フッド"
"21423824","Ｄ．ロバーツ"
"21423880","Ｒ．デューシー"
"21423882","スパイク"
"21423884","Ｍ．キャリオン"
"21423888","ウィリー"
"21423889","Ｋ．ライマー"
"21523828","Ｓ．ジョンソン"
"21523840","Ｂ．マクナルティ"
"21523845","Ｔ．ゴンザレス"
"21523848","Ｊ．タイロン"
"21523865","Ｇ．ジョンストン"
"21523866","Ｊ．パチョレック"
"21523883","Ｊ．レイ"
"21623841","Ｋ．ワシントン"
"21623882","マリオ"
"21623884","Ｍ．フィアリー"
"21623886","Ｊ．クロフォード"
"21623888","Ｃ．バルデス"
"21623889","Ｂ．シグペン"
"21625111","Ａ．タラスコ"
"21723824","Ｄ．スチュアート"
"21723828","Ｂ．チャンス"
"21723840","Ｊ．ロザリオ"
"21723861","Ｔ．ダンカン"
"21723883","Ｔ．オマリー"
"21823885","Ｙ．ペレス"
