year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1997,PL,大阪近鉄バファローズ,35433868,赤堀　元之,,57,97.1,10,7,23,42.0,428,97,0,90,,5,44,0,4,,,0,0,0.588,5,100
1997,PL,大阪近鉄バファローズ,91193864,池上　誠一,,2,3.0,0,0,0,2.0,14,3,,3,,1,4,0,0,,,0,0,0.0,0,2
1997,PL,大阪近鉄バファローズ,31633868,石毛　博史,,18,68.1,4,3,0,36.0,303,68,0,61,,6,49,0,3,,,0,0,0.571,0,41
1997,PL,大阪近鉄バファローズ,11313881,入来　智,,6,13.1,1,0,0,4.0,50,13,0,14,,1,1,0,0,,,0,0,1.0,0,10
1997,PL,大阪近鉄バファローズ,51353882,岡本　晃,,30,146.2,10,6,0,53.0,610,146,0,138,,14,50,1,0,,,3,1,0.625,8,84
1997,PL,大阪近鉄バファローズ,91393884,大塚　晶文,,52,82.2,4,5,7,22.0,333,82,0,44,,2,46,1,5,,,0,0,0.444,1,127
1997,PL,大阪近鉄バファローズ,11513869,清川　栄治,,7,3.0,0,0,0,5.0,17,3,,7,,1,2,0,0,,,0,0,0.0,1,3
1997,PL,大阪近鉄バファローズ,21323846,久保　康生,,18,19.1,0,1,0,13.0,86,19,0,19,,3,8,0,2,,,0,0,0.0,3,13
1997,PL,大阪近鉄バファローズ,61563860,香田　勲男,,18,107.1,9,4,0,45.0,463,107,0,123,,7,26,0,1,,,0,0,0.692,3,58
1997,PL,大阪近鉄バファローズ,71573887,小池　秀郎,,27,182.2,15,6,0,68.0,767,182,0,137,,14,96,0,6,,,6,3,0.714,7,136
1997,PL,大阪近鉄バファローズ,51653883,佐野　重樹,,52,73.2,2,5,5,38.0,326,73,0,96,,6,24,0,2,,,0,0,0.286,1,47
1997,PL,大阪近鉄バファローズ,01503889,酒井　弘樹,,10,49.1,1,5,0,27.0,224,49,0,51,,1,28,0,2,,,0,0,0.167,1,33
1997,PL,大阪近鉄バファローズ,71673883,柴田　佳主也,,54,56.0,0,1,0,20.0,249,56,,57,,2,26,0,1,,,0,0,0.0,3,34
1997,PL,大阪近鉄バファローズ,01703885,品田　操士,,2,3.0,0,0,0,0.0,11,3,,0,,0,3,1,1,,,0,0,0.0,0,3
1997,PL,大阪近鉄バファローズ,31933885,背尾　伊洋,,4,6.1,0,0,0,0.0,26,6,0,2,,0,6,0,1,,,0,0,0.0,0,1
1997,PL,大阪近鉄バファローズ,91993885,高村　祐,,23,145.2,8,9,0,82.0,657,145,0,171,,9,61,1,3,,,3,1,0.471,6,95
1997,PL,大阪近鉄バファローズ,31633883,寺前　正雄,,7,26.2,0,4,0,19.0,127,26,0,27,,3,22,0,1,,,1,0,0.0,1,8
1997,PL,大阪近鉄バファローズ,31233885,西岡　洋,,1,2.0,0,0,0,2.0,9,2,,3,,0,1,0,0,,,0,0,0.0,0,0
1997,PL,大阪近鉄バファローズ,11913889,西川　慎一,,51,45.0,1,1,0,20.0,202,45,,47,,6,23,0,2,,,0,0,0.5,2,33
1997,PL,大阪近鉄バファローズ,21023884,前川　克彦,,5,5.0,0,0,0,8.0,26,5,,7,,0,6,0,0,,,0,0,0.0,0,6
1997,PL,大阪近鉄バファローズ,31033880,南　真一郎,,5,8.0,0,0,0,8.0,37,8,,10,,0,4,0,1,,,0,0,0.0,0,6
1997,PL,大阪近鉄バファローズ,11813884,Ｂ．ミラッキ,,6,24.2,0,2,0,21.0,130,24,0,37,,3,19,0,1,,,0,0,0.0,2,9
1997,PL,大阪近鉄バファローズ,51253864,山崎　慎太郎,,8,40.1,3,4,0,36.0,196,40,0,64,,8,18,0,3,,,0,0,0.429,2,18
1997,PL,大阪近鉄バファローズ,21623883,谷内　聖樹,,1,1.0,0,0,0,0.0,3,1,,0,,0,0,0,0,,,0,0,0.0,0,2
1997,PL,大阪近鉄バファローズ,61863884,Ｊ．ラフィン,,1,5.0,0,0,0,3.0,23,5,,3,,0,7,0,1,,,0,0,0.0,0,2
1997,PL,北海道日本ハムファイターズ,51153880,厚沢　和幸,,3,1.2,0,0,0,0.0,7,1,0,1,,0,0,0,1,,,0,0,0.0,1,3
1997,PL,北海道日本ハムファイターズ,31333881,岩本　勉,,27,114.0,7,6,3,60.0,501,114,,125,,19,47,0,5,,,2,0,0.538,5,75
