year,league,metric,player_name,rank,playerId,team,file
1985,CL,IsoD,高木 豊,5,player-5,横浜ベイスターズ,public\data\rankings\1985\CL\IsoD.json
1985,CL,IsoD__qualified,高木 豊,5,player-5,横浜ベイスターズ,public\data\rankings\1985\CL\IsoD__qualified.json
1985,CL,K%,若菜 嘉晴,33,player-33,横浜ベイスターズ,public\data\rankings\1985\CL\K%.json
1985,CL,K%__qualified,若菜 嘉晴,33,player-33,横浜ベイスターズ,public\data\rankings\1985\CL\K%__qualified.json
1985,CL,RC,田代 富雄,29,player-29,横浜ベイスターズ,public\data\rankings\1985\CL\RC.json
1985,CL,RC__qualified,田代 富雄,29,player-29,横浜ベイスターズ,public\data\rankings\1985\CL\RC__qualified.json
1985,CL,三塁打,高木 豊,5,player-5,横浜ベイスターズ,public\data\rankings\1985\CL\三塁打.json
1985,CL,三塁打_all,高木 豊,5,player-5,横浜ベイスターズ,public\data\rankings\1985\CL\三塁打_all.json
1985,CL,出塁率,高木 豊,5,player-5,横浜ベイスターズ,public\data\rankings\1985\CL\出塁率.json
1985,CL,出塁率__qualified,高木 豊,5,player-5,横浜ベイスターズ,public\data\rankings\1985\CL\出塁率__qualified.json
1985,CL,単打,加藤 博一,12,player-12,横浜ベイスターズ,public\data\rankings\1985\CL\単打.json
1985,CL,単打_all,加藤 博一,12,player-12,横浜ベイスターズ,public\data\rankings\1985\CL\単打_all.json
1986,CL,本塁打,C.ポンセ,7,player-7,横浜ベイスターズ,public\data\rankings\1986\CL\本塁打.json
1986,CL,本塁打_all,C.ポンセ,7,player-7,横浜ベイスターズ,public\data\rankings\1986\CL\本塁打_all.json
1986,CL,死球,C.ポンセ,7,player-7,横浜ベイスターズ,public\data\rankings\1986\CL\死球.json
1986,CL,死球_all,C.ポンセ,7,player-7,横浜ベイスターズ,public\data\rankings\1986\CL\死球_all.json
1986,CL,長打率_all,C.ポンセ,7,player-7,横浜ベイスターズ,public\data\rankings\1986\CL\長打率_all.json
1987,CL,BB%,C.ポンセ,11,player-11,横浜ベイスターズ,public\data\rankings\1987\CL\BB%.json
1987,CL,BB%__qualified,C.ポンセ,11,player-11,横浜ベイスターズ,public\data\rankings\1987\CL\BB%__qualified.json
1988,CL,K%,高橋 眞裕,5,player-5,横浜ベイスターズ,public\data\rankings\1988\CL\K%.json
1988,CL,K%__qualified,高橋 眞裕,5,player-5,横浜ベイスターズ,public\data\rankings\1988\CL\K%__qualified.json
1988,CL,四球,屋鋪 要,30,player-30,横浜ベイスターズ,public\data\rankings\1988\CL\四球.json
1988,CL,四球_all,屋鋪 要,30,player-30,横浜ベイスターズ,public\data\rankings\1988\CL\四球_all.json
1988,CL,打数,屋鋪 要,30,player-30,横浜ベイスターズ,public\data\rankings\1988\CL\打数.json
1988,CL,打数_all,屋鋪 要,30,player-30,横浜ベイスターズ,public\data\rankings\1988\CL\打数_all.json
1988,CL,死球,銚子 利夫,14,player-14,横浜ベイスターズ,public\data\rankings\1988\CL\死球.json
1988,CL,死球_all,銚子 利夫,14,player-14,横浜ベイスターズ,public\data\rankings\1988\CL\死球_all.json
1989,CL,GPA,J.パチョレック,5,player-5,横浜ベイスターズ,public\data\rankings\1989\CL\GPA.json
1989,CL,GPA__qualified,J.パチョレック,5,player-5,横浜ベイスターズ,public\data\rankings\1989\CL\GPA__qualified.json
1989,CL,NOI,J.パチョレック,5,player-5,横浜ベイスターズ,public\data\rankings\1989\CL\NOI.json
1989,CL,NOI__qualified,J.パチョレック,5,player-5,横浜ベイスターズ,public\data\rankings\1989\CL\NOI__qualified.json
1989,CL,XR,高木 豊,18,player-18,横浜ベイスターズ,public\data\rankings\1989\CL\XR.json
1989,CL,XR_all,高木 豊,18,player-18,横浜ベイスターズ,public\data\rankings\1989\CL\XR_all.json
1989,CL,XR__qualified,高木 豊,18,player-18,横浜ベイスターズ,public\data\rankings\1989\CL\XR__qualified.json
1989,CL,出塁率,C.ポンセ,31,player-31,横浜ベイスターズ,public\data\rankings\1989\CL\出塁率.json
1989,CL,出塁率__qualified,C.ポンセ,31,player-31,横浜ベイスターズ,public\data\rankings\1989\CL\出塁率__qualified.json
1989,CL,打率,銚子 利夫,16,player-16,横浜ベイスターズ,public\data\rankings\1989\CL\打率.json
1989,CL,打率,高木 豊,18,player-18,横浜DeNAベイスターズ,public\data\rankings\1989\CL\打率.json
1989,CL,打率__qualified,銚子 利夫,16,player-16,横浜ベイスターズ,public\data\rankings\1989\CL\打率__qualified.json
1989,CL,打率__qualified,高木 豊,18,player-18,横浜DeNAベイスターズ,public\data\rankings\1989\CL\打率__qualified.json
1989,PL,BB_K,藤井 康雄,22,player-22,オリックス・バファローズ,public\data\rankings\1989\PL\BB_K.json
1989,PL,BB_K__qualified,藤井 康雄,22,player-22,オリックス・バファローズ,public\data\rankings\1989\PL\BB_K__qualified.json
1989,PL,IsoP_all,門田 博光,7,player-7,オリックス・バファローズ,public\data\rankings\1989\PL\IsoP_all.json
1989,PL,K%,福良 淳一,32,player-32,オリックス・バファローズ,public\data\rankings\1989\PL\K%.json
1989,PL,K%__qualified,福良 淳一,32,player-32,オリックス・バファローズ,public\data\rankings\1989\PL\K%__qualified.json
1989,PL,NOI,松永 浩美,4,player-4,オリックス・バファローズ,public\data\rankings\1989\PL\NOI.json
1989,PL,NOI__qualified,松永 浩美,4,player-4,オリックス・バファローズ,public\data\rankings\1989\PL\NOI__qualified.json
1989,PL,RC,門田 博光,7,player-7,オリックス・バファローズ,public\data\rankings\1989\PL\RC.json
1989,PL,RC_all,門田 博光,7,player-7,オリックス・バファローズ,public\data\rankings\1989\PL\RC_all.json
1989,PL,RC__qualified,門田 博光,7,player-7,オリックス・バファローズ,public\data\rankings\1989\PL\RC__qualified.json
1989,PL,XR,石嶺 和彦,19,player-19,オリックス・バファローズ,public\data\rankings\1989\PL\XR.json
1989,PL,XR_all,石嶺 和彦,19,player-19,オリックス・バファローズ,public\data\rankings\1989\PL\XR_all.json
1989,PL,XR__qualified,石嶺 和彦,19,player-19,オリックス・バファローズ,public\data\rankings\1989\PL\XR__qualified.json
1989,PL,二塁打,ブーマー,25,player-25,オリックス・バファローズ,public\data\rankings\1989\PL\二塁打.json
1989,PL,二塁打_all,ブーマー,25,player-25,オリックス・バファローズ,public\data\rankings\1989\PL\二塁打_all.json
1989,PL,打点,門田 博光,7,player-7,オリックス・バファローズ,public\data\rankings\1989\PL\打点.json
1989,PL,打点_all,門田 博光,7,player-7,オリックス・バファローズ,public\data\rankings\1989\PL\打点_all.json
1989,PL,打率,松永 浩美,4,player-4,オリックス・バファローズ,public\data\rankings\1989\PL\打率.json
1989,PL,打率,門田 博光,7,player-7,オリックスブルーウェーブ,public\data\rankings\1989\PL\打率.json
1989,PL,打率__qualified,松永 浩美,4,player-4,オリックス・バファローズ,public\data\rankings\1989\PL\打率__qualified.json
1989,PL,打率__qualified,門田 博光,7,player-7,オリックスブルーウェーブ,public\data\rankings\1989\PL\打率__qualified.json
1989,PL,盗塁,藤井 康雄,22,player-22,オリックス・バファローズ,public\data\rankings\1989\PL\盗塁.json
1989,PL,盗塁_all,藤井 康雄,22,player-22,オリックス・バファローズ,public\data\rankings\1989\PL\盗塁_all.json
