year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1963,CL,読売ジャイアンツ,61163808,伊藤　芳明,,39,236.1,19,8,,56.0,917,236,0,153,,12,78,0,3,,,18,10,0.704,1,166
1963,CL,読売ジャイアンツ,71373823,大熊　伸行,,1,1.0,0,0,,1.0,4,1,,1,,1,0,0,0,,,0,0,0.0,0,0
1963,CL,読売ジャイアンツ,51753808,北川　芳男,,35,172.1,11,7,,56.0,682,172,0,151,,11,26,0,0,,,6,2,0.611,3,52
1963,CL,読売ジャイアンツ,51053825,城之内　邦雄,,45,247.2,17,14,,97.0,994,247,0,219,,15,53,0,3,,,12,3,0.548,9,112
1963,CL,読売ジャイアンツ,41943823,高橋　明,,42,208.2,14,13,,71.0,826,208,0,186,,11,31,1,2,,,12,3,0.519,4,82
1963,CL,読売ジャイアンツ,81983804,中村　稔,,30,101.0,3,4,,42.0,400,101,,82,,6,21,1,2,,,2,1,0.429,4,35
1963,CL,読売ジャイアンツ,41243804,藤田　元司,,30,119.1,10,4,,39.0,485,119,0,99,,11,38,0,3,,,2,0,0.714,1,65
1963,CL,読売ジャイアンツ,23323800,堀内　庄,,13,23.2,1,0,,15.0,113,23,0,30,,4,12,0,1,,,0,0,1.0,0,6
1963,CL,読売ジャイアンツ,91893825,益田　昭雄,,11,30.2,2,1,,24.0,138,30,0,36,,5,11,1,2,,,0,0,0.667,0,21
1963,CL,読売ジャイアンツ,33133825,宮田　征典,,47,110.0,6,4,,30.0,431,110,,73,,4,44,1,3,,,0,0,0.6,1,74
1963,CL,読売ジャイアンツ,61463823,村瀬　広基,,1,2.0,0,0,,1.0,8,2,,4,,0,1,0,0,,,0,0,0.0,0,1
1963,CL,広島東洋カープ,31333825,池田　英俊,,45,286.2,21,13,,96.0,1136,286,0,246,,20,73,0,0,,,20,9,0.618,3,132
1963,CL,広島東洋カープ,61363802,鵜狩　道旺,,37,109.2,6,5,,49.0,464,109,0,107,,7,35,0,0,,,3,0,0.545,1,39
1963,CL,広島東洋カープ,71373806,岡田　忠弘,,24,47.1,0,4,,24.0,200,47,0,35,,5,29,0,1,,,0,0,0.0,0,27
1963,CL,広島東洋カープ,41343808,大石　清,,48,218.1,10,22,,114.0,944,218,0,221,,35,75,1,1,,,8,1,0.313,7,115
1963,CL,広島東洋カープ,61363808,大羽　進,,20,32.1,0,1,,27.0,144,32,0,45,,3,7,0,0,,,0,0,0.0,1,13
1963,CL,広島東洋カープ,81583807,河村　久文,,15,38.0,0,4,,33.0,177,38,,51,,11,12,0,1,,,0,0,0.0,1,13
1963,CL,広島東洋カープ,81583821,佐々木　勝利,,26,42.0,0,1,,26.0,184,42,,46,,5,18,2,0,,,0,0,0.0,0,23
1963,CL,広島東洋カープ,41543827,城野　勝博,,4,8.0,0,0,,2.0,38,8,,10,,0,3,0,0,,,0,0,0.0,0,5
1963,CL,広島東洋カープ,61763827,坪井　猛,,2,1.2,0,0,,7.0,14,1,0,6,,1,3,0,0,,,0,0,0.0,0,0
1963,CL,広島東洋カープ,43743801,長谷川　良平,,23,49.2,2,3,,23.0,212,49,0,45,,7,19,0,0,,,0,0,0.4,5,24
1963,CL,広島東洋カープ,01803809,弘瀬　昌彦,,50,207.2,10,10,,75.0,849,207,0,189,,22,51,0,0,,,5,2,0.5,8,102
1963,CL,広島東洋カープ,71073827,桝岡　憲三,,3,4.0,0,0,,3.0,21,4,,5,,1,4,0,0,,,0,0,0.0,0,1
1963,CL,広島東洋カープ,01603823,山本　兵吾,,1,2.0,0,0,,1.0,9,2,,3,,1,2,0,0,,,0,0,0.0,0,1
1963,CL,広島東洋カープ,81083827,八木　孝,,12,24.2,0,1,,18.0,109,24,0,24,,3,16,0,0,,,0,0,0.0,0,8
1963,CL,広島東洋カープ,31433821,竜　憲一,,61,190.2,9,16,,106.0,806,190,0,193,,24,54,0,1,,,2,0,0.36,0,65
1963,CL,国鉄スワローズ,61163825,荒川　巌,,30,71.0,1,3,,30.0,300,71,,69,,6,30,1,1,,,0,0,0.25,2,22
1963,CL,国鉄スワローズ,41143823,稲垣　博愛,,8,15.0,0,0,,6.0,64,15,,16,,1,5,0,0,,,0,0,0.0,0,7
1963,CL,国鉄スワローズ,01303825,石戸　四六,,10,17.1,0,1,,16.0,81,17,0,24,,3,4,0,1,,,0,0,0.0,0,6
1963,CL,国鉄スワローズ,71073801,金田　正一,,53,337.0,30,17,,83.0,1308,337,,234,,20,83,0,2,,,25,9,0.638,1,287
1963,CL,国鉄スワローズ,71773806,島谷　勇雄,,1,3.2,0,0,,2.0,17,3,0,5,,1,2,0,0,,,0,0,0.0,0,2
1963,CL,国鉄スワローズ,31033825,渋谷　誠司,,57,255.2,14,17,,98.0,1089,255,0,217,,19,137,0,3,,,7,3,0.452,11,185
1963,CL,国鉄スワローズ,91093825,鈴木　皖武,,48,107.2,3,9,,60.0,447,107,0,87,,12,45,0,1,,,0,0,0.25,4,59
1963,CL,国鉄スワローズ,91093807,田所　善治郎,,35,72.0,3,2,,29.0,282,72,,62,,12,22,0,0,,,0,0,0.6,1,29
1963,CL,国鉄スワローズ,11013808,巽　一,,6,10.2,0,0,,3.0,44,10,0,8,,1,6,0,0,,,0,0,0.0,0,2
1963,CL,国鉄スワローズ,91293805,西田　亨,,30,76.2,1,6,,26.0,319,76,0,64,,4,27,0,1,,,0,0,0.143,5,47
1963,CL,国鉄スワローズ,01003827,宮下　陽吾,,1,0.2,0,0,,3.0,7,0,0,2,,0,3,0,0,,,0,0,0.0,0,0
1963,CL,国鉄スワローズ,41443804,村田　元一,,40,209.1,13,14,,97.0,864,209,0,219,,27,32,0,0,,,9,4,0.481,0,60
1963,CL,国鉄スワローズ,21223806,茂木　忠之,,10,21.2,0,2,,8.0,87,21,0,23,,0,3,0,0,,,0,0,0.0,0,7
1963,CL,国鉄スワローズ,01203821,森滝　義巳,,30,64.2,0,2,,28.0,260,64,0,58,,7,17,0,0,,,0,0,0.0,0,14
1963,CL,中日ドラゴンズ,31333804,江崎　照雄,,1,1.0,0,0,,0.0,4,1,,1,,0,0,0,0,,,0,0,0.0,0,0
1963,CL,中日ドラゴンズ,81583808,河村　保彦,,56,245.0,19,14,,89.0,996,245,,191,,21,89,0,2,,,8,1,0.576,4,119
1963,CL,中日ドラゴンズ,51353821,柿本　実,,48,260.0,21,13,,58.0,989,260,,208,,14,42,0,0,,,12,3,0.618,4,83
1963,CL,中日ドラゴンズ,31733825,門岡　信行,,12,28.1,0,4,,19.0,124,28,0,26,,4,10,0,1,,,0,0,0.0,2,21
1963,CL,中日ドラゴンズ,51353827,加藤　斌,,4,9.0,1,0,,3.0,35,9,,7,,0,1,0,0,,,0,0,1.0,0,4
1963,CL,中日ドラゴンズ,41543821,近藤　光郎,,7,9.1,0,0,,6.0,47,9,0,10,,1,9,0,1,,,0,0,0.0,0,5
1963,CL,中日ドラゴンズ,31733823,権藤　博,,45,220.2,10,12,,105.0,922,220,0,205,,29,79,1,1,,,9,0,0.455,4,88
1963,CL,中日ドラゴンズ,31833800,中山　義朗,,41,152.2,9,5,,50.0,608,152,0,125,,6,31,0,0,,,6,3,0.643,3,50
1963,CL,中日ドラゴンズ,91693809,西尾　慈高,,25,51.0,2,2,,19.0,203,51,,44,,3,18,0,1,,,0,0,0.5,2,19
1963,CL,中日ドラゴンズ,51253808,板東　英二,,30,73.2,3,1,,32.0,314,73,0,77,,2,26,1,3,,,2,1,0.75,2,39
1963,CL,中日ドラゴンズ,11413808,水谷　伸久,,10,12.0,0,0,,13.0,59,12,,16,,1,7,0,0,,,0,0,0.0,1,3
1963,CL,中日ドラゴンズ,43143825,山中　巽,,45,197.1,15,6,,67.0,782,197,0,164,,17,44,0,2,,,7,3,0.714,2,88
1963,CL,大洋ホエールズ,01103802,秋山　登,,60,214.2,13,14,,88.0,876,214,0,212,,23,52,1,1,,,8,1,0.481,2,99
1963,CL,大洋ホエールズ,41343825,稲川　誠,,54,338.1,26,17,,107.0,1373,338,0,272,,19,133,0,1,,,19,6,0.605,17,188
1963,CL,大洋ホエールズ,01303823,大崎　隆雄,,32,79.0,3,7,,31.0,336,79,,69,,4,48,0,4,,,3,3,0.3,1,53
1963,CL,大洋ホエールズ,51953807,権藤　正利,,39,46.2,1,3,,26.0,223,46,0,62,,4,26,1,1,,,0,0,0.25,5,36
1963,CL,大洋ホエールズ,71973825,佐々木　吉郎,,26,75.1,2,6,,37.0,322,75,0,80,,8,25,0,2,,,1,0,0.25,3,20
1963,CL,大洋ホエールズ,51753806,島田　源太郎,,39,141.0,4,10,,80.0,616,141,,146,,18,62,0,1,,,3,1,0.286,5,84
1963,CL,大洋ホエールズ,41743823,篠田　荘平,,27,48.2,0,2,,26.0,211,48,0,59,,3,14,0,2,,,0,0,0.0,0,26
1963,CL,大洋ホエールズ,21723806,鈴木　隆,,59,213.1,8,17,,94.0,901,213,0,203,,12,80,0,2,,,0,0,0.32,8,116
1963,CL,大洋ホエールズ,51253806,三平　晴樹,,6,5.0,0,0,,6.0,30,5,,10,,4,5,0,0,,,0,0,0.0,0,2
1963,CL,大洋ホエールズ,31433808,峰　国安,,18,25.1,0,0,,16.0,116,25,0,31,,4,11,0,4,,,0,0,0.0,0,13
1963,CL,大洋ホエールズ,21423823,宮崎　元忠,,3,2.0,0,0,,3.0,10,2,,3,,0,2,0,0,,,0,0,0.0,0,0
1963,CL,大洋ホエールズ,93193825,森田　斌,,21,46.2,2,3,,21.0,198,46,0,42,,3,18,0,0,,,0,0,0.4,2,12
1963,CL,大洋ホエールズ,51453821,若生　照元,,1,1.0,0,0,,0.0,3,1,,0,,0,0,0,0,,,0,0,0.0,0,0
1963,CL,大洋ホエールズ,11413827,渡辺　政好,,4,4.1,0,0,,5.0,22,4,0,7,,2,4,0,0,,,0,0,0.0,0,0
1963,CL,阪神タイガース,01103803,飯尾　為男,,12,22.2,0,0,,13.0,102,22,0,25,,1,7,0,0,,,0,0,0.0,1,10
1963,CL,阪神タイガース,11313807,伊奈　努,,10,23.1,0,5,,24.0,116,23,0,34,,2,15,0,0,,,0,0,0.0,1,12
1963,CL,阪神タイガース,61163800,石川　緑,,38,145.2,9,8,,76.0,627,145,0,162,,18,34,1,0,,,5,3,0.529,4,59
1963,CL,阪神タイガース,41143804,石川　良照,,3,4.1,0,0,,8.0,26,4,0,11,,4,3,0,0,,,0,0,0.0,0,1
1963,CL,阪神タイガース,21323823,太田　紘一,,31,37.1,2,1,,18.0,155,37,0,44,,5,10,0,0,,,0,0,0.667,0,11
1963,CL,阪神タイガース,31933807,小山　正明,,34,233.0,14,14,,108.0,971,233,,218,,27,66,0,0,,,12,0,0.5,4,98
1963,CL,阪神タイガース,81783827,中井　悦雄,,7,37.0,4,1,,5.0,136,37,,25,,3,10,0,1,,,3,3,0.8,0,14
1963,CL,阪神タイガース,31633825,西村　繁一,,4,7.0,0,0,,4.0,29,7,,10,,1,0,0,0,,,0,0,0.0,0,3
