year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
2013,PL,福岡ソフトバンクホークス,,新垣 渚,,5,22.2,1,1,0,5.56,106,28,7,12,0,2,13,14,14,0,0,0,0,0.5,1,0
2013,PL,福岡ソフトバンクホークス,,有馬 翔,,3,6.0,0,0,0,7.5,36,11,1,9,0,1,3,5,5,0,0,0,0,0.0,1,0
2013,PL,福岡ソフトバンクホークス,,五十嵐 亮太,,51,53.1,3,3,12,2.53,214,38,1,18,0,1,58,15,17,11,14,0,0,0.5,1,1
2013,PL,福岡ソフトバンクホークス,,岩嵜 翔,,47,68.2,1,4,2,4.33,297,79,9,14,0,3,54,33,39,14,15,0,0,0.2,2,0
2013,PL,福岡ソフトバンクホークス,,江尻 慎太郎,,23,24.0,1,1,0,3.38,100,28,1,5,0,0,18,9,9,2,3,0,0,0.5,1,1
2013,PL,福岡ソフトバンクホークス,,オセゲラ,,6,36.0,3,1,0,2.0,149,29,1,15,0,1,23,8,8,0,0,0,0,0.75,3,0
2013,PL,福岡ソフトバンクホークス,,大隣 憲司,,7,42.2,3,3,0,3.38,179,42,3,10,0,1,29,16,19,0,0,0,0,0.5,0,0
2013,PL,福岡ソフトバンクホークス,,大場 翔太,,11,51.1,2,4,0,5.26,224,45,2,24,0,4,29,30,33,0,0,0,0,0.333,7,1
2013,PL,福岡ソフトバンクホークス,,金澤 健人,,27,23.0,2,0,0,3.13,101,19,2,12,0,0,12,8,9,3,5,0,0,1.0,1,0
2013,PL,福岡ソフトバンクホークス,,嘉弥真 新也,,40,54.1,3,1,0,2.32,215,38,0,16,0,2,50,14,17,4,7,0,0,0.75,3,0
2013,PL,福岡ソフトバンクホークス,,川原 弘之,,1,3.0,0,0,0,9.0,12,1,1,2,0,0,1,3,3,0,0,0,0,0.0,1,0
2013,PL,福岡ソフトバンクホークス,,金 無英,,23,31.0,0,1,0,3.48,130,28,2,16,0,0,27,12,12,0,0,0,0,0.0,0,0
2013,PL,福岡ソフトバンクホークス,,攝津 正,,25,162.1,15,8,0,3.05,662,138,11,42,0,8,146,55,68,0,0,3,1,0.652,3,0
2013,PL,福岡ソフトバンクホークス,,千賀 滉大,,51,56.1,1,4,1,2.4,232,32,1,26,0,1,85,15,16,17,18,0,0,0.2,10,1
2013,PL,福岡ソフトバンクホークス,,武田 翔太,,17,93.0,4,4,0,3.48,415,79,3,68,0,6,56,36,38,0,0,0,0,0.5,4,0
2013,PL,福岡ソフトバンクホークス,,巽 真悟,,6,19.2,0,1,0,4.58,87,20,1,8,0,2,18,10,10,0,0,0,0,0.0,2,1
2013,PL,福岡ソフトバンクホークス,,寺原 隼人,,16,93.0,4,7,0,4.65,398,97,9,30,0,1,56,48,51,0,0,2,0,0.364,5,0
2013,PL,福岡ソフトバンクホークス,,二保 旭,,5,9.0,0,0,0,6.0,43,11,0,6,0,1,3,6,6,0,0,0,0,0.0,1,0
2013,PL,福岡ソフトバンクホークス,,パディーヤ,,16,58.2,3,6,0,3.84,245,50,3,17,0,7,40,25,29,3,4,0,0,0.333,2,1
2013,PL,福岡ソフトバンクホークス,,バリオス,,3,13.2,2,1,0,4.61,63,18,1,5,0,1,8,7,7,0,0,0,0,0.667,2,0
2013,PL,福岡ソフトバンクホークス,,東浜 巨,,5,28.2,3,1,0,2.83,120,27,4,9,0,1,25,9,15,0,0,1,1,0.75,0,0
2013,PL,福岡ソフトバンクホークス,,ファルケンボーグ,,41,39.2,0,4,10,2.04,153,17,4,16,0,3,49,9,10,9,9,0,0,0.0,0,0
2013,PL,福岡ソフトバンクホークス,,藤岡 好明,,32,28.2,4,0,0,2.51,121,29,0,12,0,1,15,8,9,6,10,0,0,1.0,3,0
2013,PL,福岡ソフトバンクホークス,,帆足 和幸,,19,98.1,8,7,0,4.58,413,98,5,40,0,6,46,50,50,0,1,0,0,0.533,1,1
2013,PL,福岡ソフトバンクホークス,,星野 大地,,7,9.1,0,0,0,5.79,41,10,1,5,0,3,5,6,6,0,0,0,0,0.0,0,0
2013,PL,福岡ソフトバンクホークス,,森福 允彦,,57,52.1,3,2,0,2.58,207,37,3,10,0,4,51,15,15,15,18,0,0,0.6,0,0
2013,PL,福岡ソフトバンクホークス,,柳瀬 明宏,,44,41.1,4,0,1,1.52,163,31,1,11,0,1,36,7,7,11,15,0,0,1.0,1,0
2013,PL,福岡ソフトバンクホークス,,山田 大樹,,9,35.1,3,3,0,4.58,164,42,2,20,0,1,17,18,19,0,0,0,0,0.5,0,0
2013,PL,福岡ソフトバンクホークス,,山中 浩史,,17,29.1,0,2,0,5.52,136,43,1,12,0,0,11,18,19,1,1,0,0,0.0,2,0
2013,PL,福岡ソフトバンクホークス,,山本 省吾,,2,1.2,0,0,0,10.8,10,3,2,2,0,0,1,2,2,0,0,0,0,0.0,0,0
2013,PL,埼玉西武ライオンズ,,石井 一久,,7,5.1,0,1,0,6.75,25,5,2,4,0,0,5,4,4,3,3,0,0,0.0,0,0
2013,PL,埼玉西武ライオンズ,,岩尾 利弘,,10,12.1,1,0,0,9.49,64,16,2,10,1,0,3,13,13,1,2,0,0,1.0,2,0
2013,PL,埼玉西武ライオンズ,,ウィリアムス,,47,38.0,1,2,3,1.89,158,20,1,23,3,3,45,8,11,21,22,0,0,0.333,0,0
2013,PL,埼玉西武ライオンズ,,大石 達也,,37,36.2,0,5,8,6.38,166,43,7,12,2,1,44,26,28,2,2,0,0,0.0,1,0
2013,PL,埼玉西武ライオンズ,,岡本 篤志,,20,18.0,0,1,0,4.5,91,29,1,8,0,0,12,9,13,6,6,0,0,0.0,0,0
2013,PL,埼玉西武ライオンズ,,岡本 洋介,,32,77.1,4,4,0,3.84,333,83,5,24,0,5,55,33,35,6,9,1,0,0.5,3,0
2013,PL,埼玉西武ライオンズ,,長田 秀一郎,,16,15.1,0,2,0,5.28,69,17,1,4,0,1,12,9,9,3,3,0,0,0.0,1,0
2013,PL,埼玉西武ライオンズ,,川崎 雄介,,8,4.2,0,0,0,5.79,20,5,0,3,0,0,0,3,3,0,0,0,0,0.0,0,0
2013,PL,埼玉西武ライオンズ,,菊池 雄星,,17,108.0,9,4,0,1.92,441,79,5,44,0,3,92,23,28,0,0,3,3,0.692,2,0
2013,PL,埼玉西武ライオンズ,,岸 孝之,,26,178.1,11,5,0,3.08,716,155,17,31,1,6,138,61,63,0,0,3,2,0.688,6,0
2013,PL,埼玉西武ライオンズ,,小石 博孝,,11,12.2,0,0,0,10.66,63,18,1,8,0,1,12,15,15,1,1,0,0,0.0,1,0
2013,PL,埼玉西武ライオンズ,,サファテ,,58,57.2,9,1,10,1.87,229,29,4,24,1,4,66,12,13,16,25,0,0,0.9,1,0
2013,PL,埼玉西武ライオンズ,,坂元 弥太郎,,11,17.1,0,2,0,5.19,77,15,1,11,1,0,14,10,11,2,2,0,0,0.0,2,0
2013,PL,埼玉西武ライオンズ,,高橋 朋己,,24,18.2,1,0,0,3.38,77,10,1,11,0,1,28,7,7,10,11,0,0,1.0,1,0
2013,PL,埼玉西武ライオンズ,,武隈 祥太,,9,13.2,1,1,0,3.29,54,10,3,6,0,0,4,5,5,1,2,0,0,0.5,1,0
2013,PL,埼玉西武ライオンズ,,十亀 剣,,28,164.1,8,8,0,3.45,688,158,12,44,1,9,122,63,68,1,1,6,2,0.5,3,1
2013,PL,埼玉西武ライオンズ,,中崎 雄太,,7,9.2,0,0,0,9.31,53,19,2,5,1,0,3,10,12,0,0,0,0,0.0,0,0
2013,PL,埼玉西武ライオンズ,,西口 文也,,4,10.2,0,2,0,8.44,58,18,2,9,0,0,7,10,10,0,0,0,0,0.0,0,0
2013,PL,埼玉西武ライオンズ,,野上 亮磨,,30,152.2,11,7,0,3.95,643,141,17,41,1,8,93,67,71,1,4,0,0,0.611,3,0
2013,PL,埼玉西武ライオンズ,,藤原 良平,,2,2.0,0,0,0,18.0,10,3,1,1,0,1,2,4,4,0,0,0,0,0.0,0,0
