year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1993,CL,読売ジャイアンツ,31633868,石毛　博史,,48,67.0,6,5,30,23.0,279,67,,43,,4,37,0,2,,,0,0,0.545,0,85
1993,CL,読売ジャイアンツ,91393862,岡田　展和,,1,1.0,0,0,0,4.0,7,1,,4,,2,0,0,0,,,0,0,0.0,0,1
1993,CL,読売ジャイアンツ,31433868,木田　優夫,,35,131.2,7,7,2,50.0,538,131,0,129,,11,40,0,6,,,1,1,0.5,1,97
1993,CL,読売ジャイアンツ,61363887,木村　龍治,,16,24.0,0,0,0,12.0,97,24,,18,,1,10,0,0,,,0,0,0.0,2,17
1993,CL,読売ジャイアンツ,11513862,桑田　真澄,,26,178.0,8,15,0,85.0,745,178,,162,,15,61,0,5,,,8,1,0.348,6,158
1993,CL,読売ジャイアンツ,61563860,香田　勲男,,22,100.0,8,7,0,42.0,411,100,,87,,7,30,0,3,,,2,0,0.533,5,59
1993,CL,読売ジャイアンツ,01403868,小島　圭市,,5,9.0,0,1,0,15.0,53,9,,22,,3,4,0,0,,,0,0,0.0,1,8
1993,CL,読売ジャイアンツ,81583869,斎藤　雅樹,,23,149.2,9,11,0,56.0,609,149,0,135,,10,40,0,3,,,3,1,0.45,4,105
1993,CL,読売ジャイアンツ,41943885,谷口　功一,,3,4.0,0,0,0,5.0,22,4,,4,,2,5,0,0,,,0,0,0.0,0,5
1993,CL,読売ジャイアンツ,51053887,西山　一宇,,2,3.0,0,0,0,2.0,13,3,,3,,1,1,0,0,,,0,0,0.0,0,3
1993,CL,読売ジャイアンツ,81283868,橋本　清,,52,88.1,6,4,3,23.0,357,88,0,63,,8,30,0,1,,,0,0,0.6,2,91
1993,CL,読売ジャイアンツ,31433867,槙原　寛己,,28,173.2,13,5,0,54.0,715,173,0,149,,17,53,0,12,,,5,3,0.722,4,175
1993,CL,読売ジャイアンツ,61263868,松谷　竜二郎,,1,1.0,0,0,0,2.0,8,1,,3,,0,2,0,0,,,0,0,0.0,0,0
1993,CL,読売ジャイアンツ,21223869,水野　雄仁,,43,60.2,1,1,0,22.0,239,60,0,53,,1,14,0,3,,,0,0,0.5,0,36
1993,CL,読売ジャイアンツ,41443860,宮本　和知,,26,116.1,5,8,0,50.0,513,116,0,118,,17,50,0,2,,,2,0,0.385,7,109
1993,CL,読売ジャイアンツ,61263887,門奈　哲寛,,33,60.0,1,2,0,20.0,246,60,,46,,4,27,2,0,,,0,0,0.333,1,57
1993,CL,中日ドラゴンズ,71173868,今中　慎二,,31,249.0,17,7,1,67.0,982,249,,183,,20,59,0,5,,,14,3,0.708,2,247
1993,CL,中日ドラゴンズ,31133866,上原　晃,,13,20.1,1,2,0,8.0,84,20,0,23,,2,8,0,3,,,0,0,0.333,0,13
1993,CL,中日ドラゴンズ,71373885,落合　英二,,10,9.1,1,1,0,2.0,36,9,0,5,,1,5,0,1,,,0,0,0.5,0,7
1993,CL,中日ドラゴンズ,81383863,郭　源治,,39,107.2,3,9,17,44.0,453,107,0,107,,11,34,0,0,,,4,2,0.25,4,78
1993,CL,中日ドラゴンズ,01303869,鹿島　忠,,57,70.0,3,5,2,28.0,297,70,,55,,7,41,0,4,,,0,0,0.375,1,53
1993,CL,中日ドラゴンズ,51553866,北野　勝則,,5,3.0,0,0,0,0.0,12,3,,2,,0,1,0,0,,,0,0,0.0,0,1
1993,CL,中日ドラゴンズ,31533846,小松　辰雄,,16,77.0,7,4,0,34.0,329,77,,72,,9,33,0,1,,,0,0,0.636,4,49
1993,CL,中日ドラゴンズ,21323864,近藤　真市,,1,2.0,0,0,0,0.0,9,2,,3,,0,0,0,0,,,0,0,0.0,0,1
1993,CL,中日ドラゴンズ,83483868,今野　隆裕,,16,14.2,2,0,0,13.0,72,14,0,15,,4,13,0,1,,,0,0,1.0,1,17
1993,CL,中日ドラゴンズ,11313883,小島　弘務,,26,55.1,2,1,0,20.0,236,55,0,51,,3,16,0,0,,,1,1,0.667,4,42
1993,CL,中日ドラゴンズ,51553887,古池　拓一,,6,6.1,0,0,0,2.0,29,6,0,8,,2,4,0,0,,,0,0,0.0,1,5
1993,CL,中日ドラゴンズ,31733885,佐々木　健一,,5,10.0,0,0,0,5.0,47,10,,10,,1,10,0,1,,,0,0,0.0,0,2
1993,CL,中日ドラゴンズ,11713887,佐藤　秀樹,,13,54.2,4,1,0,27.0,241,54,0,48,,12,37,0,2,,,0,0,0.8,2,42
1993,CL,中日ドラゴンズ,81783869,津野　広志,,27,78.1,3,3,0,29.0,329,78,0,74,,8,29,0,2,,,0,0,0.5,4,54
1993,CL,中日ドラゴンズ,21923887,鶴田　泰,,29,127.0,7,11,0,54.0,527,127,,119,,16,42,0,3,,,2,1,0.389,3,110
1993,CL,中日ドラゴンズ,31033860,二宮　正己,,13,15.0,2,0,0,11.0,65,15,,14,,0,8,0,0,,,0,0,1.0,0,5
1993,CL,中日ドラゴンズ,91693881,松永　幸男,,1,2.0,0,0,0,1.0,7,2,,1,,1,0,0,0,,,0,0,0.0,0,1
1993,CL,中日ドラゴンズ,71373883,森田　幸一,,22,28.1,2,3,3,18.0,130,28,0,36,,3,12,0,1,,,0,0,0.4,0,15
1993,CL,中日ドラゴンズ,01403862,山本　昌広,,27,188.1,17,5,0,46.0,710,188,0,140,,16,30,0,1,,,10,5,0.773,3,132
1993,CL,中日ドラゴンズ,01803881,山田　喜久夫,,46,50.2,1,2,0,19.0,217,50,0,39,,4,25,0,0,,,0,0,0.333,1,36
1993,CL,中日ドラゴンズ,81883881,与田　剛,,15,19.1,1,3,3,23.0,100,19,0,23,,5,19,0,1,,,0,0,0.25,1,18
1993,CL,中日ドラゴンズ,31333883,吉田　太,,4,3.2,0,0,0,2.0,17,3,0,5,,0,1,0,0,,,0,0,0.0,0,2
1993,CL,阪神タイガース,01103864,猪俣　隆,,27,166.2,11,12,0,72.0,735,166,0,179,,16,71,1,4,,,3,0,0.478,5,133
1993,CL,阪神タイガース,33133868,太田　貴,,8,15.0,1,1,0,12.0,66,15,,14,,0,6,0,0,,,0,0,0.5,3,10
1993,CL,阪神タイガース,51553881,葛西　稔,,10,43.0,2,3,0,21.0,183,43,,43,,4,12,0,0,,,1,0,0.4,4,19
1993,CL,阪神タイガース,21623887,郭李　建夫,,27,51.1,5,4,2,24.0,225,51,0,49,,2,27,0,4,,,0,0,0.556,1,48
1993,CL,阪神タイガース,21323846,久保　康生,,34,53.0,4,0,2,23.0,227,53,,43,,5,23,0,1,,,0,0,1.0,1,53
1993,CL,阪神タイガース,51753883,嶋田　哲也,,13,39.0,1,3,0,21.0,172,39,,37,,6,19,0,1,,,0,0,0.25,2,28
1993,CL,阪神タイガース,81183866,多岐　篤司,,2,5.0,0,0,0,0.0,19,5,,2,,0,2,0,0,,,0,0,0.0,0,1
1993,CL,阪神タイガース,31733883,田村　勤,,30,36.0,1,1,22,11.0,151,36,,38,,4,10,0,1,,,0,0,0.5,1,39
1993,CL,阪神タイガース,51953887,竹内　昌也,,8,11.1,0,0,0,6.0,55,11,0,15,,2,8,0,2,,,0,0,0.0,0,10
1993,CL,阪神タイガース,21923863,中田　良弘,,13,17.0,0,0,0,7.0,70,17,,15,,1,5,0,0,,,0,0,0.0,1,13
1993,CL,阪神タイガース,61963869,中西　清起,,33,82.0,3,3,11,37.0,357,82,,103,,6,12,0,1,,,0,0,0.5,5,54
1993,CL,阪神タイガース,61963860,仲田　幸司,,27,85.1,3,12,0,68.0,407,85,0,98,,15,59,0,3,,,1,0,0.2,3,61
1993,CL,阪神タイガース,63163868,中込　伸,,28,199.0,8,13,0,86.0,822,199,,175,,19,62,0,6,,,4,0,0.381,2,153
1993,CL,阪神タイガース,73173868,服部　裕昭,,4,6.0,0,0,0,5.0,27,6,,7,,1,3,0,0,,,0,0,0.0,0,2
1993,CL,阪神タイガース,71473867,御子柴　進,,41,63.2,5,2,1,25.0,268,63,0,63,,7,19,0,1,,,0,0,0.714,0,37
1993,CL,阪神タイガース,71773883,山崎　一玄,,14,47.1,2,2,1,15.0,200,47,0,39,,5,23,0,5,,,0,0,0.5,0,31
1993,CL,阪神タイガース,11713883,湯舟　敏郎,,23,161.0,12,6,0,64.0,671,161,,158,,14,61,0,2,,,4,1,0.667,1,131
1993,CL,阪神タイガース,91693885,弓長　起浩,,54,56.2,5,3,0,31.0,258,56,0,60,,5,32,0,1,,,0,0,0.625,3,27
1993,CL,阪神タイガース,53153868,渡辺　伸彦,,21,33.0,0,2,0,14.0,142,33,,34,,2,12,0,0,,,0,0,0.0,3,31
1993,CL,広島東洋カープ,31133881,秋村　謙宏,,48,75.0,6,4,0,43.0,334,75,,83,,14,35,1,4,,,0,0,0.6,1,58
1993,CL,広島東洋カープ,91193844,大野　豊,,31,38.0,3,1,23,10.0,149,38,,26,,2,13,0,2,,,0,0,0.75,0,46
1993,CL,広島東洋カープ,51553863,川口　和久,,25,162.2,8,11,0,71.0,722,162,0,167,,15,74,0,5,,,7,3,0.421,3,128
1993,CL,広島東洋カープ,23923868,片瀬　聖敏,,17,88.1,5,6,0,35.0,366,88,0,79,,11,23,0,2,,,2,0,0.455,3,60
1993,CL,広島東洋カープ,91393842,北別府　学,,13,69.0,6,6,0,41.0,302,69,,79,,13,17,0,0,,,0,0,0.5,3,38
1993,CL,広島東洋カープ,01303864,紀藤　真琴,,20,21.0,1,1,0,10.0,96,21,,24,,1,10,0,3,,,0,0,0.5,1,26
1993,CL,広島東洋カープ,93793868,小早川　幸二,,18,13.0,0,0,0,14.0,66,13,,15,,0,9,0,0,,,0,0,0.0,3,6
1993,CL,広島東洋カープ,13013868,近藤　芳久,,60,84.1,3,0,2,38.0,355,84,0,60,,10,43,0,3,,,0,0,1.0,2,74
1993,CL,広島東洋カープ,21723881,佐々岡　真司,,30,183.0,5,17,0,93.0,793,183,,206,,21,58,0,6,,,7,1,0.227,5,124
1993,CL,広島東洋カープ,81583887,佐藤　剛,,13,37.0,1,0,0,27.0,176,37,,49,,6,16,0,0,,,0,0,1.0,2,18
1993,CL,広島東洋カープ,01703887,鈴木　健,,19,57.2,1,7,0,46.0,270,57,0,64,,4,42,0,1,,,1,1,0.125,2,42
1993,CL,広島東洋カープ,91993860,高山　郁夫,,3,6.1,0,1,0,4.0,28,6,0,7,,2,2,0,0,,,0,0,0.0,2,3
1993,CL,広島東洋カープ,71873883,高橋　英樹,,23,78.2,1,5,0,47.0,355,78,0,98,,14,28,0,0,,,0,0,0.167,1,48
1993,CL,広島東洋カープ,21923862,長冨　浩志,,28,108.2,4,8,0,70.0,477,108,0,114,,22,52,0,1,,,1,1,0.333,1,55
1993,CL,広島東洋カープ,81783864,西　清孝,,5,5.2,0,0,0,6.0,28,5,0,8,,3,3,0,0,,,0,0,0.0,0,2
1993,CL,広島東洋カープ,01203869,前田　耕司,,41,34.1,2,0,0,13.0,146,34,0,27,,1,24,0,3,,,0,0,1.0,2,27
1993,CL,広島東洋カープ,63063868,望月　秀通,,48,88.0,7,8,2,36.0,379,88,,81,,8,37,0,2,,,0,0,0.467,3,67
1993,CL,広島東洋カープ,91893883,山崎　健,,4,6.0,0,2,0,8.0,32,6,,14,,1,1,0,0,,,0,0,0.0,0,3
1993,CL,東京ヤクルトスワローズ,71173867,荒木　大輔,,21,101.0,8,4,0,44.0,427,101,,114,,20,22,0,1,,,2,1,0.667,2,56
1993,CL,東京ヤクルトスワローズ,91193862,伊東　昭光,,26,173.2,13,4,2,69.0,721,173,0,162,,20,45,0,2,,,8,1,0.765,6,94
1993,CL,東京ヤクルトスワローズ,31133885,石井　一久,,19,59.1,3,1,0,32.0,266,59,0,48,,8,38,0,5,,,1,0,0.75,2,66
1993,CL,東京ヤクルトスワローズ,21123887,伊藤　智仁,,14,109.0,7,2,0,11.0,426,109,,70,,3,35,0,5,,,5,4,0.778,2,126
1993,CL,東京ヤクルトスワローズ,11513883,岡林　洋一,,17,115.2,5,8,0,52.0,486,115,0,120,,13,28,0,1,,,5,2,0.385,2,62
1993,CL,東京ヤクルトスワローズ,31533883,小坂　勝仁,,20,29.1,1,1,0,17.0,126,29,0,30,,1,7,0,2,,,0,0,0.5,3,17
1993,CL,東京ヤクルトスワローズ,11313887,小倉　恒,,1,2.0,0,1,0,4.0,13,2,,6,,1,1,0,0,,,0,0,0.0,0,0
1993,CL,東京ヤクルトスワローズ,91393865,金沢　次男,,31,42.0,1,1,0,16.0,172,42,,34,,7,11,0,1,,,0,0,0.5,1,39
1993,CL,東京ヤクルトスワローズ,25923868,川崎　憲次郎,,27,139.2,10,9,0,55.0,582,139,0,120,,13,61,0,4,,,5,1,0.526,0,108
1993,CL,東京ヤクルトスワローズ,51553883,高津　臣吾,,56,78.1,6,4,20,28.0,324,78,0,69,,3,24,0,1,,,0,0,0.6,5,72
1993,CL,東京ヤクルトスワローズ,21723864,内藤　尚行,,17,29.0,1,0,1,15.0,125,29,,31,,4,6,0,2,,,0,0,1.0,0,32
1993,CL,東京ヤクルトスワローズ,51253881,西村　龍次,,26,154.2,11,6,1,71.0,646,154,0,148,,14,42,1,7,,,2,0,0.647,5,98
1993,CL,東京ヤクルトスワローズ,31233885,西岡　洋,,4,2.0,0,1,0,3.0,10,2,,1,,0,3,0,0,,,0,0,0.0,0,3
1993,CL,東京ヤクルトスワローズ,51053865,宮本　賢治,,13,52.2,4,1,0,15.0,213,52,0,44,,3,12,0,0,,,1,1,0.8,2,41
1993,CL,東京ヤクルトスワローズ,01003865,森　浩二,,21,13.2,0,0,0,4.0,57,13,0,13,,1,4,0,0,,,0,0,0.0,0,6
1993,CL,東京ヤクルトスワローズ,91293864,山田　勉,,47,89.1,10,5,2,34.0,395,89,0,79,,11,51,0,7,,,1,1,0.667,2,105
1993,CL,東京ヤクルトスワローズ,31433887,山本　樹,,13,9.0,0,2,0,4.0,40,9,,8,,0,9,0,4,,,0,0,0.0,0,10
1993,CL,東京ヤクルトスワローズ,41443862,乱橋　幸仁,,12,5.2,0,0,1,1.0,22,5,0,4,,0,3,0,0,,,0,0,0.0,0,5
1993,CL,横浜DeNAベイスターズ,91193881,東瀬　耕太郎,,10,11.0,0,1,0,6.0,54,11,,15,,0,8,0,0,,,0,0,0.0,1,6
1993,CL,横浜DeNAベイスターズ,71173887,五十嵐　英樹,,27,40.1,2,3,1,23.0,185,40,0,42,,6,30,1,1,,,0,0,0.4,2,29
1993,CL,横浜DeNAベイスターズ,11313885,有働　克也,,25,122.2,6,6,0,48.0,487,122,0,98,,13,36,0,1,,,1,0,0.5,5,69
1993,CL,横浜DeNAベイスターズ,31533866,岡本　透,,10,34.2,1,5,0,18.0,156,34,0,38,,5,16,0,0,,,0,0,0.167,1,21
1993,CL,横浜DeNAベイスターズ,71373865,欠端　光則,,2,2.2,0,0,0,3.0,11,2,0,2,,2,2,0,0,,,0,0,0.0,0,1
1993,CL,横浜DeNAベイスターズ,13113883,加藤　将斗,,28,32.1,2,3,0,24.0,150,32,0,37,,3,22,0,0,,,0,0,0.4,0,19
1993,CL,横浜DeNAベイスターズ,01503887,小桧山　雅仁,,44,99.1,3,9,4,35.0,416,99,0,85,,6,49,0,4,,,0,0,0.25,1,85
1993,CL,横浜DeNAベイスターズ,01303844,斉藤　明夫,,6,10.2,0,0,0,13.0,55,10,0,20,,3,1,0,0,,,0,0,0.0,2,4
1993,CL,横浜DeNAベイスターズ,61763881,佐々木　主浩,,38,55.0,3,6,20,24.0,226,55,,35,,6,21,0,3,,,0,0,0.333,2,84
1993,CL,横浜DeNAベイスターズ,61563885,斎藤　隆,,29,149.0,8,10,0,66.0,627,149,,127,,15,61,0,7,,,2,0,0.444,6,125
1993,CL,横浜DeNAベイスターズ,81783868,島田　直也,,16,60.2,3,4,0,27.0,270,60,0,67,,1,25,0,4,,,1,1,0.429,1,40
1993,CL,横浜DeNAベイスターズ,75573868,田辺　学,,25,90.0,2,6,1,46.0,402,90,,84,,8,53,2,6,,,1,0,0.25,4,70
1993,CL,横浜DeNAベイスターズ,51753864,友利　結,,12,19.0,0,2,0,20.0,88,19,,22,,4,9,0,0,,,0,0,0.0,2,17
1993,CL,横浜DeNAベイスターズ,41243866,永野　吉成,,20,34.0,1,1,0,22.0,152,34,,30,,5,20,0,0,,,0,0,0.5,1,22
