npb_player_id,name_ja,name_en,team,team_code,position,uniform_no,throw_hand,bat_hand,is_new_2026
31235150,嶋村 麟士朗,,阪神タイガース,H,捕　手,,R,L,1
91495138,濱田 太貴,,阪神タイガース,H,外野手,,R,R,0
31335151,井上 広大,,阪神タイガース,H,,,R,R,0
31335139,岩崎 優,,阪神タイガース,H,,,L,L,0
51355139,岩貞 祐太,,阪神タイガース,H,,,L,L,0
71275118,西 勇輝,,阪神タイガース,H,,,R,R,0
71375150,伊原 陵人,,阪神タイガース,H,,,L,L,0
61965159,下村 海翔,,阪神タイガース,H,,,R,R,0
41345136,大竹 耕太郎,,阪神タイガース,H,,,L,L,0
21925159,椎葉 剛,,阪神タイガース,H,,,R,R,0
71375153,伊藤 将司,,阪神タイガース,H,,,L,L,0
31935150,今朝丸 裕喜,,阪神タイガース,H,,,R,R,0
91095136,髙橋 遥人,,阪神タイガース,H,,,L,L,0
53355157,門別 啓人,,阪神タイガース,H,,,L,L,0
41745134,才木 浩人,,阪神タイガース,H,,,R,R,0
31635134,畠 世周,,阪神タイガース,H,,,R,L,0
91795151,及川 雅貴,,阪神タイガース,H,,,L,L,0
13315153,村上 頌樹,,阪神タイガース,H,,,R,L,0
73975152,Ｅ．ルーカス,Easton Lucas,阪神タイガース,H,,,L,L,0
31635152,早瀬 朔,,阪神タイガース,H,,,R,L,0
63765152,Ｃ．ラグズデール,Carson Ragsdale,阪神タイガース,H,,,R,R,0
01705155,桐敷 拓馬,,阪神タイガース,H,,,L,L,0
81185157,茨木 秀俊,,阪神タイガース,H,,,R,R,0
81785150,工藤 泰成,,阪神タイガース,H,,,R,L,0
51255157,富田 蓮,,阪神タイガース,H,,,L,L,0
57955159,早川 太貴,,阪神タイガース,H,,,R,R,0
41745150,木下 里都,,阪神タイガース,H,,,R,R,0
17915159,能登 嵩都,,阪神タイガース,H,,,R,R,0
01105159,石黒 佑弥,,阪神タイガース,H,,,R,R,0
11515155,岡留 英貴,,阪神タイガース,H,,,R,R,0
41845138,湯浅 京己,,阪神タイガース,H,,,R,R,0
11415159,津田 淳哉,,阪神タイガース,H,,,R,R,0
41145153,石井 大智,,阪神タイガース,H,,,R,R,0
03505132,Ｒ．ドリス,Rafael Dolis,阪神タイガース,H,,,R,R,0
03705152,Ｄ．モレッタ,Dauri Moreta,阪神タイガース,H,,,R,R,0
21325139,梅野 隆太郎,,阪神タイガース,H,,,R,R,0
11915132,坂本 誠志郎,,阪神タイガース,H,,,R,R,0
61065137,伏見 寅威,,阪神タイガース,H,,,R,R,0
51055153,榮枝 裕貴,,阪神タイガース,H,,,R,R,0
41845150,町田 隼乙,,阪神タイガース,H,,,R,R,0
91495134,長坂 拳弥,,阪神タイガース,H,,,R,R,0
91695151,藤田 健斗,,阪神タイガース,H,,,R,R,0
51455155,中川 勇斗,,阪神タイガース,H,,,R,R,0
33335153,元山 飛優,,阪神タイガース,H,,,R,L,0
31735138,木浪 聖也,,阪神タイガース,H,,,R,L,0
21325134,大山 悠輔,,阪神タイガース,H,,,R,R,0
81585136,熊谷 敬宥,,阪神タイガース,H,,,R,R,0
41445153,中野 拓夢,,阪神タイガース,H,,,R,L,0
91295152,立石 正広,,阪神タイガース,H,,,R,R,0
83585152,Ｃ．ディベイニー,Cam Devanney,阪神タイガース,H,,,R,R,0
01205152,谷端 将伍,,阪神タイガース,H,,,R,R,0
81185134,糸原 健斗,,阪神タイガース,H,,,R,L,0
31535138,小幡 竜平,,阪神タイガース,H,,,R,L,0
91095150,佐野 大陽,,阪神タイガース,H,,,R,R,0
63365159,山田 脩也,,阪神タイガース,H,,,R,R,0
23325159,百﨑 蒼生,,阪神タイガース,H,,,R,R,0
